(-1.0943122336466238,3.455652455378239e-14)
(-1.094169523370709,0.008636836319757797)
(-1.0937416806317748,0.017261412525071542)
(-1.0930295682700353,0.02586151242542534)
(-1.0920346196114068,0.03442500737188157)
(-1.0907588314008612,0.04293989926621114)
(-1.0892047539984893,0.051394362665820675)
(-1.0873754789261083,0.05977678569941014)
(-1.0852746238751787,0.06807580952185757)
(-1.0829063153081941,0.07628036605337868)
(-1.080275168805234,0.08437971376723259)
(-1.0773862673248609,0.09236347131182161)
(-1.0742451375637037,0.10022164877660324)
(-1.0708577246118545,0.10794467643641983)
(-1.0672303651113726,0.1155234308352574)
(-1.0633697591328064,0.12294925809766158)
(-1.0592829409895752,0.13021399438366657)
(-1.054977249212418,0.13730998343072753)
(-1.0504602959059175,0.1442300911534173)
(-1.0457399357064843,0.15096771729818537)
(-1.040824234556297,0.1575168041759631)
(-1.035721438500651,0.16387184251953088)
(-1.0304399427072526,0.1700278745350855)
(-1.0249882608953593,0.17598049423814327)
(-1.0193749953505684,0.18172584518260915)
(-1.0136088076877539,0.18726061570840408)
(-1.0076983905103596,0.19258203184737904)
(-1.001652440099232,0.1976878480393102)
(-0.9954796302486936,0.20257633581954834)
(-0.9891885873517681,0.20724627064742338)
(-0.982787866820688,0.21169691704982854)
(-0.9762859309131464,0.21592801225762662)
(-0.9696911280194757,0.21993974851374076)
(-0.9630116734511167,0.22373275423114816)
(-0.9562556317566056,0.22730807417664073)
(-0.9494309005779159,0.23066714885231182)
(-0.9425451960474848,0.23381179324144508)
(-0.9356060397146678,0.2367441750789994)
(-0.9286207469798059,0.23946679279937258)
(-0.921596417004548,0.24198245330577242)
(-0.914539924058588,0.24429424969648586)
(-0.9074579102555713,0.246405539073787)
(-0.9003567796245334,0.24831992055131677)
(-0.893242693457896,0.25004121356563724)
(-0.8861215668726742,0.2515734365874599)
(-0.8789990665181167,0.2529207863178673)
(-0.8718806093604703,0.254087617444826)
(-0.8647713624738255,0.2550784230254902)
(-0.8576762437650662,0.2558978155503239)
(-0.8505999235606779,0.2565505087359816)
(-0.8435468269835362,0.25704130008523535)
(-0.8365211379546623,0.2573750544358026)
(-0.829526799312011,0.2575566875052223)
(-0.822567522559579,0.2575911516522906)
(-0.8156467891214653,0.25748342135916125)
(-0.8087678565276328,0.25723847999739097)
(-0.8019337641043293,0.25686130737443275)
(-0.7951473390005521,0.2563568681167749)
(-0.7884112024964296,0.25573010087786513)
(-0.7817277765425865,0.25498590835521406)
(-0.7750992904828168,0.25412914809765974)
(-0.7685277879156674,0.2531646240809663)
(-0.7620151336537949,0.2520970790275039)
(-0.7555630207432061,0.25093118744376053)
(-0.7491729775076428,0.2496715493478393)
(-0.742846374586466,0.24832268465783877)
(-0.7365844319373804,0.24688902821110184)
(-0.7303882257782092,0.24537492538369907)
(-0.7242586954446742,0.2437846282791614)
(-0.7181966501437584,0.24212229245537198)
(-0.7122027755846899,0.24039197415863828)
(-0.7062776404719258,0.2385976280342592)
(-0.7004217028467005,0.2367431052833717)
(-0.6946353162657328,0.23483215223646198)
(-0.6889187358075949,0.23286840931466185)
(-0.68327212389899,0.2308554103507732)
(-0.6776955559548016,0.22879658224288232)
(-0.6721890258272583,0.22669524491440454)
(-0.6667524510609046,0.22455461155543102)
(-0.6613856779512955,0.222377789121324)
(-0.6560884864064356,0.22016777906559917)
(-0.6508605946109766,0.21792747828525202)
(-0.6457016634940788,0.2156596802577967)
(-0.6406113010044062,0.213367076350956)
(-0.6355890661840164,0.21105225728345176)
(-0.6306344730704123,0.20871771472651635)
(-0.6257469943956112,0.20636584302110106)
(-0.620926065111878,0.20399894100148108)
(-0.6161710857383059,0.20161921390874418)
(-0.611481425534579,0.19922877538118497)
(-0.6068564255068214,0.1968296495092295)
(-0.6022954012506572,0.19442377294342328)
(-0.5977976456367547,0.1920129970448813)
(-0.5933624313442505,0.18959909006842893)
(-0.58898901324751,0.18718373936945126)
(-0.5846766306617435,0.18476855362621786)
(-0.5804245094529861,0.18235506507015936)
(-0.5762318640179441,0.1799447317172455)
(-0.5720978991391669,0.17753893959424133)
(-0.5680218117209341,0.17513900495421972)
(-0.5640027924111825,0.1727461764762607)
(-0.5600400271146797,0.17036163744479896)
(-0.5561326984025575,0.16798650790454622)
(-0.5522799868231968,0.16562184678742092)
(-0.5484810721193163,0.16326865400828208)
(-0.5447351343559834,0.1609278725266878)
(-0.5410413549641266,0.15860039037227378)
(-0.5373989177039828,0.15628704263166446)
(-0.533807009552745,0.1539886133951482)
