(-4.2787157640065125e-12,-67.20364849078392)
(-1.0694504018959636,-67.18749181710528)
(-2.137530506511093,-67.13905661656379)
(-3.202874696632322,-67.05844717778682)
(-4.264126683246626,-66.9458367405244)
(-5.319944090228247,-66.80146663913037)
(-6.369002944737227,-66.62564511420439)
(-7.410002043584137,-66.41874580297966)
(-8.441667167213268,-66.18120592180742)
(-9.4627551146631,-65.91352415666799)
(-10.472057534845295,-65.61625827999795)
(-11.468404531709279,-65.29002251423366)
(-12.450668023291904,-64.93548466430765)
(-13.41776483725183,-64.55336304288019)
(-14.368659528215712,-64.14442321332564)
(-15.302366905075873,-63.709474576419424)
(-16.21795425923598,-63.24936682728)
(-17.1145432876611,-62.76498630941537)
(-17.991311707412365,-62.25725229271485)
(-18.847494561097978,-61.7271132019248)
(-19.68238521531658,-61.17554282156946)
(-20.49533605667688,-60.60353650244695)
(-21.285758892321063,-60.01210739376631)
(-22.053125064037395,-59.402282723724)
(-22.79696528700039,-58.77510014987305)
(-23.516869225912224,-58.1316041990436)
(-24.21248482282573,-57.47284281486207)
(-24.883517392203867,-56.79986402911375)
(-25.529728499809668,-56.11371277133099)
(-26.150934642828208,-55.41542782909392)
(-26.747005749203186,-54.706038969626945)
(-27.31786351453432,-53.98656423138994)
(-27.863479595038445,-53.258007392515495)
(-28.38387367504215,-52.5213556211564)
(-28.87911142726008,-51.77757731109729)
(-29.34930238373901,-51.02762010436154)
(-29.794597734829793,-50.272409101028394)
(-30.21518807290581,-49.51284525506839)
(-30.611301096795138,-48.749803953718846)
(-30.983199292052927,-47.98413377675784)
(-31.331177601287433,-47.21665543099939)
(-31.655561097784446,-46.44816085442178)
(-31.956702674666946,-45.67941248355814)
(-32.23498076079417,-44.91114267711541)
(-32.490797073560145,-44.144053288247)
(-32.72457441770999,-43.3788153774728)
(-32.936754538261575,-42.61606905791901)
(-33.127796034613326,-41.85642346432696)
(-33.29817234194084,-41.10045683714921)
(-33.44836978631999,-40.34871677209352)
(-33.57888571915888,-39.60172027357066)
(-33.690226709231446,-38.859954480182815)
(-33.78290685659212,-38.12387689330229)
(-33.85744616388211,-37.393915964118904)
(-33.914369000186014,-36.670471687936704)
(-33.95420265146475,-35.95391625568696)
(-33.97747595737567,-35.24459475475873)
(-33.98471803399025,-34.54282591223761)
(-33.97645708143263,-33.84890287391896)
(-33.9532192750487,-33.16309401284312)
(-33.915527738360986,-32.48564376148951)
(-33.86390159575514,-31.816773462157645)
(-33.79885510258067,-31.156682230456607)
(-33.72089685012914,-30.50554782721239)
(-33.630529042773475,-29.863527534484422)
(-33.528246844409146,-29.23075903175565)
(-33.41453779123064,-28.60736126872135)
(-33.28988126779907,-27.993435331450403)
(-33.154748043308146,-27.389065299026463)
(-33.00959986493296,-26.79431908809441)
(-32.85488910514508,-26.20924928303959)
(-32.6910584598973,-25.633893949811753)
(-32.51854069461841,-25.068277431673824)
(-32.33775843501135,-24.512411125405837)
(-32.14912399971309,-23.966294236727194)
(-31.9530392719517,-23.429914513917176)
(-31.749895607422165,-22.903248958812835)
(-31.540073775695305,-22.38626451454656)
(-31.32394393257429,-21.878918729554034)
(-31.101865620916733,-21.38116039753491)
(-30.87418779754729,-20.89293017318798)
(-30.641248883995683,-20.4141611636665)
(-30.403376838904755,-19.944779495811268)
(-30.16088925006406,-19.484704859318914)
(-29.914093444134448,-19.033851026090574)
(-29.66328661232382,-18.592126346187975)
(-29.408755949800995,-18.15943422016224)
(-29.15077880842039,-17.73567354976428)
(-28.889622859725595,-17.320739165460793)
(-28.625546267913737,-16.914522232845474)
(-28.35879787102226,-16.516910637904164)
(-28.08961736917994,-16.127789351838977)
(-27.818235518785336,-15.747040776077267)
(-27.544874331560052,-15.374545068107347)
(-27.26974727750527,-15.010180448795479)
(-26.993059490866845,-14.653823491845595)
(-26.715007978287215,-14.30534939606755)
(-26.435781828391526,-13.964632241119137)
(-26.155562422120873,-13.631545227384828)
(-25.874523643186933,-13.305960900648017)
(-25.592832088080613,-12.987751362206167)
(-25.310647275121664,-12.67678846506807)
(-25.0281218520854,-12.372943996858165)
(-24.745401801996827,-12.076089850048167)
(-24.46262664671582,-11.786098180107228)
(-24.179929647989855,-11.502841552160735)
(-23.89743800568247,-11.226193076723192)
(-23.615273052923502,-10.956026535055802)
(-23.333550447960384,-10.692216494682265)
(-23.05238036251993,-10.434638415577751)
(-22.77186766651813,-10.183168747528084)
(-22.492112108984042,-9.937685019140437)
(-22.213208495080057,-9.6980659189602)
(-21.935246859135233,-9.464191369145183)
(-21.658312633615946,-9.235942592115588)
(-21.38248681398376,-9.013202170589299)
(-21.1078461194047,-8.795854101391795)
(-20.834463149289128,-8.583783843413059)
(-20.56240653565558,-8.376878360067424)
(-20.291741091323615,-8.175026156595564)
(-20.02252795395233,-7.978117312532315)
(-19.754824725950584,-7.786043509648265)
(-19.48868561029413,-7.598698055658185)
(-19.224161542292563,-7.4159759039748865)
(-18.96130031735573,-7.237773669772953)
(-18.700146714815652,-7.063989642613403)
(-18.440742617864984,-6.894523795867285)
(-18.18312712967772,-6.729277793163507)
(-17.927336685781846,-6.56815499207447)
(-17.67340516275675,-6.411060445241295)
(-17.42136398333131,-6.257900899129339)
(-17.17124221796033,-6.108584790594374)
(-16.92306668295931,-5.963022241429297)
(-16.676862035278724,-5.821125051051815)
(-16.432650863999807,-5.682806687484211)
(-16.190453778634847,-5.547982276767518)
(-15.950289494315113,-5.416568590943879)
(-15.712174913949797,-5.288484034733132)
(-15.476125207438933,-5.163648631021778)
(-15.242153888023198,-5.041984005275424)
(-15.01027288585266,-4.923413368978908)
(-14.780492618855783,-4.807861502201696)
(-14.552822060989335,-4.695254735380048)
(-14.32726880794843,-4.58552093040163)
(-14.10383914041501,-4.478589461072569)
(-13.882538084921883,-4.3743911930418165)
(-13.663369472407625,-4.272858463252641)
(-13.44633599453693,-4.17392505898651)
(-13.231439257858824,-4.077526196559921)
(-13.018679835874119,-3.983598499730882)
(-12.808057319081565,-3.892079977867495)
(-12.599570363070871,-3.8029100039274657)
(-12.393216734728773,-3.7160292922939306)
(-12.188993356623016,-3.6313798765094356)
(-11.986896349627125,-3.5489050869470034)
(-11.786921073847592,-3.468549528454063)
(-11.589062167912795,-3.390259058002506)
(-11.393313586681975,-3.31398076237512)
(-11.199668637433575,-3.2396629359195894)
(-11.008120014569698,-3.1672550583781907)
(-10.818659832933104,-3.0967077728609094)
(-10.631279659732472,-3.027972863924366)
(-10.445970545166071,-2.9610032358209435)
(-10.262723051776689,-2.895752890918122)
(-10.081527282587155,-2.832176908307279)
(-9.902372908061709,-2.7702314226167895)
(-9.725249191937182,-2.7098736030426056)
(-9.550145015966386,-2.6510616326084047)
(-9.37704890361482,-2.593754687665816)
(-9.205949042750396,-2.5379129176442983)
(-9.036833307364526,-2.483497425058976)
(-8.869689278361655,-2.430470245783701)
(-8.70450426345301,-2.378794329595781)
(-8.54126531618918,-2.3284335209976326)
(-8.379959254164667,-2.27935254032011)
(-8.220572676426745,-2.2315169651111906)
(-8.063091980119474,-2.1848932118132134)
(-7.907503376392684,-2.1394485177310467)
(-7.753792905604894,-2.0951509232930885)
(-7.601946451847733,-2.051969254606355)
(-7.451949756818562,-2.0098731063064683)
(-7.303788433067234,-1.9688328247028486)
(-7.157447976641685,-1.9288194912190597)
(-7.012913779156322,-1.8898049061277362)
(-6.870171139306284,-1.8517615725792373)
(-6.729205273849803,-1.8146626809228419)
(-6.5900013280800565,-1.7784820933188512)
(-6.452544385807186,-1.7431943286398648)
(-6.31681947887028,-1.7087745476589715)
(-6.182811596198441,-1.6751985385225883)
(-6.050505692439312,-1.6424427025052364)
(-5.919886696172691,-1.6104840400435274)
(-5.790939517726242,-1.579300137046255)
(-5.663649056609525,-1.5488691514775261)
(-5.538000208582055,-1.519169800209575)
(-5.41397787237039,-1.4901813461419)
(-5.291566956048709,-1.461883585583216)
(-5.170752383096724,-1.4342568358926195)
(-5.051519098148325,-1.4072819233764347)
(-4.933852072443747,-1.3809401714369218)
(-4.817736308997666,-1.3552133889692592)
(-4.70315684749504,-1.330083859002923)
(-4.590098768924052,-1.305534327679808)
(-4.478547200002754,-1.2815479929923574)
