(-7.654431601121895e-13,-10.261189331904488)
(-0.191321923650414,-10.258960887598503)
(-0.38241080629097857,-10.252280246197422)
(-0.5730343920770935,-10.241161459075046)
(-0.7629619901712471,-10.225627868140453)
(-0.9519652440095406,-10.205711990993086)
(-1.1398188848507922,-10.181455361581376)
(-1.3263014646488807,-10.152908327781722)
(-1.5111960635209964,-10.120129807684926)
(-1.694290967367887,-10.083187006722596)
(-1.8753803115314776,-10.042155098081835)
(-2.054264686744969,-9.997116869139198)
(-2.2307517040346263,-9.948162336890917)
(-2.404656515664505,-9.895388335563268)
(-2.575802289668602,-9.838898079753061)
(-2.7440206359824386,-9.778800706572204)
(-2.909151982660971,-9.715210800351986)
(-3.071045901145333,-9.648247903502783)
(-3.2295613800105927,-9.578036017123553)
(-3.3845670470845275,-9.50470309491584)
(-3.5359413402675033,-9.428380533879546)
(-3.6835726278012473,-9.349202665157208)
(-3.827359279124666,-9.26730624825107)
(-3.967209687814577,-9.182829971668065)
(-4.103042248435097,-9.09591396285461)
(-4.234785289409045,-9.006699310069944)
(-4.36237696427668,-8.915327598617994)
(-4.485765103920361,-8.821940463616551)
(-4.60490703250805,-8.726679161233626)
(-4.719769350044519,-8.629684160067148)
(-4.830327684517268,-8.53109475408961)
(-4.9365664166864285,-8.431048698327073)
(-5.038478380595639,-8.329681868194696)
(-5.136064542876717,-8.227127943171874)
(-5.229333663887176,-8.123518115270816)
(-5.318301943658972,-8.018980822535564)
(-5.402992655552415,-7.913641507605058)
(-5.483435770403514,-7.807622401185496)
(-5.559667573829653,-7.7010423301050706)
(-5.6317302792198705,-7.594016549468047)
(-5.699671638785381,-7.486656598286389)
(-5.763544554886013,-7.379070177845071)
(-5.823406693681512,-7.271361051951984)
(-5.879320102985714,-7.163628968134604)
(-5.931350836028771,-7.055969598772592)
(-5.9795685826596685,-6.948474501097742)
(-6.024046309350549,-6.841231094949188)
(-6.064859909196958,-6.734322657141628)
(-6.102087862945811,-6.627828331286665)
(-6.135810911926738,-6.521823151900829)
(-6.166111743614747,-6.416378081639065)
(-6.193074694423235,-6.311560068652966)
(-6.21678544736669,-6.207432073882666)
(-6.237330778714883,-6.10405319001043)
(-6.254798286463442,-6.00147868728684)
(-6.26927614804579,-5.89976010776906)
(-6.280852889646955,-5.798945358119236)
(-6.289617169781185,-5.699078808133504)
(-6.295657576983512,-5.600201394113255)
(-6.2990624413967895,-5.502350726241083)
(-6.2999196599756235,-5.4055611991756365)
(-6.298316534976471,-5.30986410513211)
(-6.294339625358714,-5.215287748767367)
(-6.288074610684212,-5.121857563240673)
(-6.279606167072182,-5.029596226871961)
(-6.2690178547418345,-4.938523779869366)
(-6.256392016656757,-4.848657740646165)
(-6.241809687770461,-4.760013221293511)
(-6.225350514365485,-4.672603041820428)
(-6.207092682972198,-4.586437842814633)
(-6.18711285835362,-4.501526196218443)
(-6.165486130045013,-4.417874713951969)
(-6.142285966942552,-4.335488154151716)
(-6.117584179443579,-4.254369524826163)
(-6.0914508886512735,-4.174520184761213)
(-6.063954502168951,-4.095939941537215)
(-6.0351616960228505,-4.018627146546165)
(-6.0051374022675335,-3.9425787869220943)
(-5.973944801844019,-3.8677905743203054)
(-5.941645322277773,-3.794257030501401)
(-5.908298639821084,-3.721971569694827)
(-5.87396268566227,-3.6509265777331805)
(-5.838693655850598,-3.5811134879761193)
(-5.8025460245471345,-3.512522853969496)
(-5.765572560394301,-3.445144419054725)
(-5.727824345550374,-3.378967182728348)
(-5.689350797207791,-3.313979463982356)
(-5.650199691283827,-3.250168961613227)
(-5.610417188036449,-3.187522811577034)
(-5.570047859367978,-3.1260276414618833)
(-5.52913471759499,-3.065669622153748)
(-5.487719245478116,-3.006434516775451)
(-5.445841427320063,-2.94830772698175)
(-5.403539780954172,-2.8912743366955644)
(-5.360851390459287,-2.8353191533722484)
(-5.317811939449405,-2.7804267468796895)
(-5.274455744798807,-2.726581486082651)
(-5.230815790674746,-2.6737675732198247)
(-5.1869237627608005,-2.621969076161659)
(-5.142810082564143,-2.5711699586363976)
(-5.098503941709721,-2.5213541085106512)
(-5.054033336133387,-2.4725053642095967)
(-5.009425100094643,-2.4246075393603004)
(-4.964704939937429,-2.37764444573993)
(-4.91989746753513,-2.3315999146087636)
(-4.875026233362672,-2.286457816505752)
(-4.830113759145204,-2.2422020795823636)
(-4.785181570038774,-2.1988167065480164)
(-4.740250226304071,-2.1562857902982935)
(-4.695339354439374,-2.114593528294587)
(-4.650467677743668,-2.0737242357615164)
(-4.60565304628523,-2.033662357766052)
(-4.560912466255065,-1.994392480239814)
(-4.516262128688266,-1.9558993400036675)
