(-9.319263298818214,4.590471622960756e-13)
(-9.317520007597501,0.11473841416714989)
(-9.312293736812432,0.2293381638990424)
(-9.3035952773725,0.34366105412077713)
(-9.2914425552139,0.4575698252808135)
(-9.27586054348482,0.5709286131623359)
(-9.256881140706021,0.683603399254907)
(-9.234543015989207,0.795462448708478)
(-9.208891422678544,0.9063767330316567)
(-9.179977982044361,1.0162203348669314)
(-9.147860438899647,1.1248708323739824)
(-9.112602391225618,1.232209660974972)
(-9.074272996080781,1.338122450459174)
(-9.032946654225883,1.442499335704537)
(-8.988702676023976,1.5452352395467468)
(-8.941624931269729,1.6462301266078745)
(-8.891801485664342,1.7453892271825995)
(-8.83932422668309,1.8426232305662238)
(-8.78428848158164,1.9378484474913393)
(-8.726792630256776,2.0309869416153368)
(-8.666937715618337,2.121966630265642)
(-8.60482705404435,2.210721354900518)
(-8.540565848382991,2.2971909219778306)
(-8.47426080583556,2.381321115140135)
(-8.406019762907052,2.463063679819897)
(-8.335951319448352,2.5423762815423148)
(-8.264164483639124,2.6192224393540076)
(-8.190768329576526,2.6935714359333947)
(-8.115871668944568,2.765398206042555)
(-8.039582738045343,2.8346832050612396)
(-7.962008901278993,2.901412259401828)
(-7.883256371966531,2.9655764006404226)
(-7.80342995122114,3.027171685215023)
(-7.722632785390652,3.086199001538187)
(-7.640966142419291,3.142663866350273)
(-7.558529207310793,3.196576212101955)
(-7.47541889672007,3.2479501671028776)
(-7.391729692556622,3.2968038301090474)
(-7.3075534943514,3.34315904094632)
(-7.222979490019836,3.387041148683373)
(-7.138094044547651,3.4284787787761526)
(-7.052980606032937,3.467503600508988)
(-6.967719628437682,3.5041500959567524)
(-6.882388510334156,3.5384553315891516)
(-6.797061548875834,3.5704587335339073)
(-6.711809908178441,3.600201867411333)
(-6.626701601263531,3.627728223549811)
(-6.541801484695373,3.6530830082922274)
(-6.457171265018362,3.6763129419969247)
(-6.372869516127338,3.697466064269019)
(-6.288951706656028,3.7165915468248882)
(-6.20547024489243,3.733739516435157)
(-6.122474490105068,3.748960877022884)
(-6.04001085501605,3.762307155781958)
(-5.95812283149708,3.773830344822578)
(-5.876851063617757,3.7835827567263927)
(-5.796233417564855,3.7916168878994356)
(-5.716305055957801,3.7979852904945455)
(-5.63709851588311,3.802740452806408)
(-5.558643790009167,3.805934688001353)
(-5.480968410182377,3.8076200310083834)
(-5.4040975329456,3.807848143367035)
(-5.328054026459682,3.806670225801378)
(-5.2528585583484375,3.8041369382674923)
(-5.178529684026349,3.8002983272038424)
(-5.105083935106128,3.795203759699672)
(-5.032535907520152,3.7889018642857883)
(-4.960898349025151,3.7814404780443382)
(-4.890182245793649,3.7728665997293738)
(-4.820396907827926,3.763226348587603)
(-4.751550052963171,3.752564928568723)
(-4.6836478892553775,3.74092659761661)
(-4.616695195576969,3.7283546417364226)
(-4.550695400268529,3.714891353537815)
(-4.485650657718913,3.7005780149610823)
(-4.421561922767955,3.6854548839006402)
(-4.358429022846417,3.669561184448854)
(-4.2962507277865125,3.6529351004924853)
(-4.235024817253417,3.635613772404048)
(-4.174748145763842,3.617633296580548)
(-4.115416705271788,3.5990287275929576)
(-4.057025685327619,3.579834082722714)
(-3.999569530736516,3.560082348658947)
(-3.9430419969236783,3.539805490177281)
(-3.8874362027763794,3.519034460579444)
(-3.8327446811815262,3.4977992137291496)
(-3.778959427223341,3.4761287175072026)
(-3.726071944097629,3.4540509685256784)
(-3.674073286792051,3.431593007950396)
(-3.622954103586175,3.4087809382908607)
(-3.572704675428672,3.385639941026228)
(-3.5233149532518717,3.3621942949451804)
(-3.4747745932862775,3.338467395086302)
(-3.427072990439326,3.3144817721740107)
(-3.3801993098039684,3.290259112453172)
(-3.3341425163634484,3.265820277833134)
(-3.2888914029590857,3.2411853262592474)
(-3.244434616587851,3.21637353223677)
(-3.200760683096393,3.1914034074386346)
(-3.1578580303374877,3.166292721334612)
(-3.115715009854234,3.1410585217852365)
(-3.0743199171562687,3.115717155549297)
(-3.033661010651111,3.0902842886587174)
(-2.9937265292924056,3.0647749266193896)
(-2.954504709005534,3.039203434401102)
(-2.9159837979492558,3.0135835561836393)
(-2.8781520706706822,2.9879284348300885)
(-2.8409978412089485,2.962250631061919)
(-2.8045094752013675,2.9365621423136945)
(-2.7686754010439563,2.910874421248322)
(-2.7334841201564593,2.8851983939165744)
(-2.698924216400146,2.859544477547172)
(-2.6649843646948583,2.8339225979561102)
(-2.6316533388799246,2.8083422065661154)
(-2.598920018861812,2.782812297029036)
(-2.566773397089518,2.7573414214458722)
(-2.535202584397078,2.7319377061807377)
(-2.5041968152506753,2.706608867266574)
(-2.4737454524363294,2.6813622254017884)
(-2.443837991222357,2.6562047205382076)
(-2.414464063029271,2.631142926061843)
(-2.385613438638202,2.6061830625689244)
(-2.3572760309674305,2.5813310112405854)
(-2.3294418974451165,2.5565923268202964)
(-2.3021012420049836,2.5319722501988924)
(-2.2752444167302426,2.5074757206126077)
(-2.2488619231698377,2.483107387460058)
(-2.2229444133497442,2.458871621744583)
(-2.197482690500898,2.4347725271487537)
(-2.1724677095241396,2.410813950748141)
(-2.1478905772114545,2.3869994933717837)
(-2.123742552241723,2.363332519616955)
(-2.100015044968154,2.3398161675260556)
(-2.0766996170136385,2.316453357933583)
(-2.0537879806892656,2.2932468034911913)
(-2.031271998250459,2.270199017379058)
(-2.0091436810041827,2.247312321711604)
(-1.9873951882800542,2.224588855645797)
(-1.966018826277251,2.202030583200205)
(-1.945007046798502,2.1796393007928736)
(-1.9243524458816859,2.1574166445061205)
(-1.9040477623389436,2.135364097086221)
(-1.8840858762125443,2.113482994685872)
(-1.864459807156215,2.091774533357254)
(-1.845162712750025,2.0702397753033224)
(-1.8261878867564236,2.0488796548949324)
(-1.807528757324529,2.027694984461178)
(-1.7891788851492727,2.00668645986025)
(-1.7711319615915697,1.9858546658379248)
(-1.753381806765278,1.965200081180698)
(-1.7359223675962714,1.944723083670372)
(-1.7187477158586228,1.9244239548467825)
(-1.7018520461924909,1.904302884585173)
(-1.6852296741079973,1.8843599754945788)
(-1.6688750339790497,1.8645952471434)
(-1.6527826770307874,1.8450086401182015)
(-1.6369472693239937,1.8256000199215845)
(-1.6213635897396386,1.8063691807148365)
(-1.606026527967115,1.7873158489115064)
(-1.5909310824943081,1.768439686623693)
(-1.5760723586133398,1.7497402949748033)
(-1.5614455664288678,1.7312172172729383)
(-1.5470460188824962,1.7128699420575766)
(-1.5328691297905677,1.6946979060213396)
(-1.5189104118977566,1.6767004968118708)
(-1.5051654749479997,1.6588770557182926)
(-1.4916300237741882,1.6412268802465273)
(-1.47829985640783,1.6237492265876476)
(-1.4651708622098374,1.6064433119832882)
(-1.452239020023419,1.5893083169920117)
(-1.4395003963499788,1.5723433876603976)
(-1.4269511435487994,1.5555476376024862)
(-1.4145874980611763,1.5389201499911154)
(-1.40240577865959,1.5224599794645213)
(-1.3904023847224167,1.5061661539514857)
(-1.3785737945345942,1.4900376764181777)
(-1.366916563614565,1.4740735265397387)
(-1.3554273230677798,1.4582726622995013)
(-1.3441027779670207,1.4426340215187288)
(-1.3329397057596142,1.427156523319481)
(-1.3219349547017403,1.4118390695233107)
(-1.3110854423198495,1.3966805459882439)
(-1.3003881538992517,1.381679823886497)
(-1.289840140999844,1.3668357609252524)
(-1.2794385199989737,1.352147202512754)
(-1.2691804706613103,1.3376129828718986)
(-1.2590632347356647,1.3232319261034204)
(-1.249084114578591,1.3090028472007025)
(-1.2392404718045844,1.2949245530181699)
(-1.2295297259627085,1.280995843195139)
(-1.2199493532393775,1.2672155110369525)
(-1.2104968851870619,1.2535823443551335)
(-1.201169907478618,1.2400951262682212)
(-1.191966058686942,1.226752635964916)
(-1.1828830290896506,1.2135536494310417)
(-1.1739185594984205,1.2004969401417989)
(-1.1650704401126897,1.1875812797207377)
(-1.1563365093973612,1.174805438566755)
(-1.147714652984182,1.162168186450442)
(-1.139202802596439,1.1496682930810134)
(-1.1307989349966627,1.1373045286449999)
(-1.1225010709569994,1.1250756643178512)
(-1.1143072742990532,1.1129804727392658)
(-1.1062156507215033,1.101017728530627)
(-1.0982243471087252,1.0891862086241249)
(-1.0903315504164017,1.07748469276218)
(-1.082535486790208,1.065911963866087)
(-1.0748344206648008,1.054466808407575)
(-1.0672266538829174,1.0431480167603382)
(-1.0597105248342091,1.0319543835323657)
(-1.05228440761345,1.020884707879895)
(-1.0449467111977575,1.0099377938037593)
(-1.03769587864245,0.9991124504288845)
(-1.0305303862951725,0.9884074922676509)
(-1.0234487430279533,0.977821739467807)
(-1.0164494894868297,0.9673540180456063)
(-1.0095311973586576,0.9570031601047883)
(-1.0026924686548095,0.9467680040420378)
(-0.9959319350113637,0.9366473947394793)
(-0.9892482570054794,0.9266401837447928)
(-0.9826401234876008,0.9167452294394793)
(-0.9761062509291656,0.9069613971957984)
(-0.9696453827854821,0.8972875595228668)
(-0.9632562888734605,0.8877225962024128)
(-0.9569377647638669,0.8782653944146211)
(-0.9506886311878003,0.86891484885453)
(-0.9445077334570663,0.8596698618393797)
(-0.9383939408981596,0.8505293434073452)
(-0.9323461462995439,0.8414922114080032)
(-0.9263632653719298,0.8325573915849473)
(-0.9204442362212921,0.8237238176508731)
(-0.9145880188342895,0.814990431355497)
(-0.908793594575861,0.8063561825466274)
(-0.9030599656986881,0.7978200292247078)
(-0.8973861548642701,0.7893809375911356)
(-0.8917712046753445,0.781037882090632)
(-0.8862141772193924,0.7727898454479651)
(-0.8807141536229729,0.764635818699268)
(-0.875270233616644,0.7565748012182275)
(-0.869881535110216,0.7486058007373696)
(-0.8645471937781096,0.7407278333646944)
(-0.859266362654578,0.7329399235958719)
(-0.8540382117385518,0.7252411043222233)
