(-8.770922392202486e-13,-10.261189331904488)
(-0.21922645546163383,-10.258728668141003)
(-0.4381734748284137,-10.251351957168916)
(-0.656562570484238,-10.239075013693663)
(-0.8741171453319507,-10.221924108295676)
(-1.0905634220422278,-10.199935837361755)
(-1.3056313532919204,-10.173156942625608)
(-1.519055506993406,-10.141644081926138)
(-1.7305759207972031,-10.10546355321253)
(-1.9399389204929665,-10.06469097421705)
(-2.146897897332299,-10.01941092057509)
(-2.351214039744086,-9.969716525492714)
(-2.552657015401901,-9.915709044340998)
(-2.7510056001256857,-9.857497387791234)
(-2.946048250648159,-9.795197627293225)
(-3.137583618842017,-9.728932476839363)
(-3.325421005578467,-9.658830755049685)
(-3.5093807529629952,-9.585026831657855)
(-3.6892945742624716,-9.507660062476544)
(-3.86500582139151,-9.426874216874575)
(-4.036369690358533,-9.342816901710496)
(-4.2032533655771385,-9.255638985540495)
(-4.365536104420765,-9.165494026757068)
(-4.523109263833838,-9.072537709121713)
(-4.675876271206747,-8.976927287935382)
(-4.82375254207248,-8.87882104984793)
(-4.9666653474875755,-8.778377789047406)
(-5.104553634218004,-8.675756302296127)
(-5.237367801061637,-8.571114904997255)
(-5.365069434803303,-8.464610970187321)
(-5.487631009417347,-8.356400492060864)
(-5.6050355522077195,-8.246637675346813)
(-5.717276280609416,-8.135474551575342)
(-5.8243562133698,-8.02306062300241)
(-5.926287759787651,-7.9095425346989)
(-6.023092290614254,-7.795063775065026)
(-6.114799694118687,-7.679764404799873)
(-6.201447920691603,-7.5637808141423015)
(-6.283082519212487,-7.447245508003934)
(-6.359756168237537,-7.330286918438149)
(-6.4315282048831515,-7.213029243731601)
(-6.498464154086243,-7.09559231326658)
(-6.560635260720917,-6.978091477183319)
(-6.618118026844144,-6.860637519771108)
(-6.670993756133741,-6.743336595434463)
(-6.719348107372885,-6.626290186015595)
(-6.763270658628474,-6.50959507820533)
(-6.8028544835682005,-6.393343359741014)
(-6.838195741164581,-6.277622433070198)
(-6.869393279845291,-6.1625150451520865)
(-6.896548256968545,-6.048099332073523)
(-6.919763778964187,-5.93444888488215)
(-6.939144536111818,-5.821632788917958)
(-6.954796495694159,-5.70971575171313)
(-6.966826573494932,-5.598758163092995)
(-6.975342340870237,-5.488816202544427)
(-6.9804517458090345,-5.379941946359026)
(-6.982262851290634,-5.272183481185829)
(-6.980883590756831,-5.165585022985052)
(-6.976421540433283,-5.060187040432235)
(-6.968983708161819,-4.956026381881446)
(-6.958676338342243,-4.853136405055924)
(-6.94560473252846,-4.751547108694298)
(-6.929873085178351,-4.651285265439678)
(-6.911584334019971,-4.5523745553170265)
(-6.890840024466736,-4.454835699200959)
(-6.8677401874921875,-4.358686591731198)
(-6.842383230357268,-4.263942433185712)
(-6.814865839574266,-4.17061585987266)
(-6.785282895484306,-4.078717072650408)
(-6.75372739782534,-3.9882539632309917)
(-6.720290401670588,-3.8992322379656605)
(-6.685060963124021,-3.811655538851927)
(-6.648126094169545,-3.7255255615396266)
(-6.609570726082931,-3.640842170148942)
(-6.5694776808306505,-3.5576035087463116)
(-6.52792764989621,-3.475806109354379)
(-6.484999179993156,-3.3954449964001547)
(-6.4407686651433,-3.3165137875309973)
(-6.395310344619252,-3.2390047907512183)
(-6.348696306271568,-3.1629090978532153)
(-6.300996494782404,-3.088216674135973)
(-6.2522787244095515,-3.0149164444206806)
(-6.2026086958180695,-2.9429963753996167)
(-6.152050016540772,-2.872443554290063)
(-6.100664224858285,-2.803244264008652)
(-6.048510816540891,-2.735384054707655)
(-5.995647274275584,-2.6688478119052332)
(-5.942129099411575,-2.6036198212217836)
(-5.888009845745729,-2.5396838298162)
(-5.8333411550790135,-2.477023104610345)
(-5.778172794293558,-2.4156204873943867)
(-5.722552693717652,-2.355458446908964)
(-5.666526986534592,-2.296519128004124)
(-5.610140049207418,-2.2387843979708975)
(-5.553434542306829,-2.182235890148336)
(-5.496451452144157,-2.126855044918087)
(-5.439230132647735,-2.072623148150413)
(-5.381808347382371,-2.019521367338507)
(-5.324222311886277,-1.9675307852213726)
(-5.266506735751993,-1.9166324313711978)
(-5.208694864694698,-1.8668073115757942)
(-5.150818522368565,-1.8180364352132228)
(-5.092908151868663,-1.7703008406966085)
(-5.034992856840768,-1.7235816190809035)
(-4.977100442129853,-1.677859935920919)
(-4.919257453905869,-1.633117051467467)
(-4.8614892192127535,-1.5893343392858308)
(-4.803819884893371,-1.5464933033780943)
(-4.746272455849336,-1.5045755938881487)
(-4.688868832600431,-1.4635630214653625)
(-4.631629848113728,-1.4234375703602067)
(-4.574575303877354,-1.3841814103222545)
(-4.517724005198384,-1.3457769073682548)
(-4.461093795708432,-1.3082066334852147)
(-4.404701591064343,-1.2714533753306967)
(-4.348563411834732,-1.235500141989892)
(-4.2926944155663165,-1.2003301718463981)
(-4.237108928026772,-1.1659269386210498)
(-4.181820473623425,-1.1322741566306873)
(-4.126841804999393,-1.0993557853162619)
(-4.072184931810881,-1.0671560330873622)
(-4.017861148691122,-1.0356593605279034)
(-3.96388106240822,-1.0048504830055422)
(-3.9102546182255096,-0.9747143727251939)
(-3.856991125474424,-0.9452362602649963)
(-3.804099282350935,-0.916401635631044)
(-3.7515871999476422,-0.8881962488653089)
(-3.699462425534476,-0.8606061102393197)
(-3.647731965101654,-0.8336174900644046)
(-3.5964023051791547,-0.8072169181476075)
(-3.5454794339475724,-0.7813911829207649)
(-3.494968861655477,-0.7561273302686771)
(-3.4448756403588887,-0.7314126620808248)
(-3.395204382998675,-0.707234734549681)
(-3.345959281831794,-0.6835813562372925)
(-3.2971441262325634,-0.6604405859305383)
(-3.2487623198800684,-0.6378007303042452)
(-3.2008168973479094,-0.6156503414101787)
(-3.153310540112428,-0.5939782140088035)
(-3.1062455919954393,-0.5727733827596831)
(-3.0596240740574596,-0.5520251192853728)
(-3.013447698957179,-0.5317229291227116)
(-2.967717884792826,-0.5118565485745461)
(-2.922435768440825,-0.49241594147403145)
(-2.877602218406922,-0.47339129587289724)
(-2.833217847204762,-0.45477302066425546)
(-2.789283023276569,-0.4365517421498551)
(-2.745797882470355,-0.418718300560972)
(-2.7027623390877844,-0.4012637465415056)
(-2.660176096516531,-0.3841793376012273)
(-2.6180386574606396,-0.36745653454657046)
(-2.576349333782118,-0.3510869978957968)
(-2.5351072559666634,-0.3350625842848845)
(-2.4943113822260727,-0.3193753428699798)
(-2.453960507249658,-0.3040175117318263)
(-2.4140532706165234,-0.28898151428715146)
(-2.3745881648803917,-0.27425995571158907)
(-2.335563543338221,-0.2598456193783535)
(-2.296977627493626,-0.2457314633165209)
(-2.258828514225757,-0.23191061669244756)
(-2.2211141826739853,-0.21837637631754972)
(-2.1838325008484483,-0.2051222031853715)
(-2.1469812319762314,-0.19214171904061128)
(-2.110558040592597,-0.17942870298250196)
(-2.0745604983864654,-0.16697708810472583)
(-2.0389860792186973,-0.1547809562734587)
(-2.003832217453932,-0.142834544347685)
(-1.969096207217879,-0.13113222193613058)
(-1.9347753132487961,-0.11966850720416199)
(-1.9008667226902793,-0.10843805421986266)
(-1.867367560227773,-0.09743565174735926)
(-1.8342748924526757,-0.08665622018674907)
(-1.8015857320301467,-0.07609480855960057)
(-1.7692970417048963,-0.06574659154345697)
(-1.7374057381314774,-0.055606866553770395)
(-1.7059086955431717,-0.045671050874488375)
(-1.6748027492643207,-0.03593467883746143)
(-1.6440846990720068,-0.02639339905087966)
(-1.6137513124127478,-0.017042971676857862)
(-1.583799327479736,-0.00787926575822112)
(-1.5542254561558992,0.0011017434055490658)
(-1.5250263868279146,0.009903976833297882)
(-1.496198787076069,0.018531254388188433)
(-1.4677393062442705,0.02698729725537045)
(-1.4396445778976954,0.03527573037060274)
(-1.41191122216645,0.04340008480132822)
(-1.3845358479890244,0.0513638000802914)
(-1.3575150552369009,0.05917022648946263)
(-1.3308454367717786,0.06682262730153925)
(-1.3045235803798592,0.07432418097086324)
(-1.2785460706289906,0.08167798328035394)
(-1.2529094906362321,0.08888704944267639)
(-1.2276104237517655,0.09595431615654247)
(-1.2026454551623706,0.10288264361871773)
(-1.178011173417649,0.10967481749230294)
(-1.1537041718819732,0.1163335508318934)
(-1.1297210501151447,0.1228614859662192)
(-1.106058415184512,0.12926119633889155)
(-1.0827128829113277,0.13553518830788702)
(-1.059681079053913,0.1416859029044114)
(-1.0369596404302037,0.1477157175517961)
(-1.0145452160097563,0.15362694775390456)
(-0.992434467805411,0.15942184870174209)
(-0.9706240720110136,0.16510261692423167)
(-0.9491107197775387,0.17067139182710006)
(-0.9278911181024279,0.17613025722547315)
(-0.9069619906341985,0.1814812428379719)
(-0.8863200784332581,0.18672632574442266)
(-0.8659621406889286,0.19186743180885169)
(-0.8458849553945742,0.19690643706849678)
(-0.8260853199824685,0.20184516908942257)
(-0.8065600519200141,0.20668540828940177)
(-0.7873059892689989,0.21142888922875286)
(-0.7683199912092576,0.21607730186968324)
(-0.7495989385283164,0.22063229280484342)
(-0.7311397340783545,0.22509546645567724)
(-0.7129393032018828,0.22946838624120053)
(-0.6949945941273613,0.23375257571782668)
(-0.6773025783361009,0.2379495196907971)
(-0.6598602509015573,0.24206066529788203)
(-0.6426646308022247,0.24608742306588627)
(-0.6257127612092237,0.2500311679405547)
(-0.6090017097496373,0.25389324029045546)
(-0.592528568746643,0.25767494688539755)
(-0.5762904554374131,0.2613775618499377)
(-0.5602845121697175,0.2650023275925259)
(-0.5445079065781813,0.26855045571081987)
(-0.5289578317410236,0.27202312787371224)
(-0.5136315063181641,0.27542149668056654)
(-0.49852617467146937,0.2787466864982001)
(-0.4836391069679529,0.28199979427609223)
(-0.4689675992666485,0.28518189034032915)
(-0.4545089735898915,0.28829401916675773)
(-0.44026057797970974,0.291337200133832)
(-0.4262197865399516,0.29431242825561743)
(-0.41238399946484877,0.2972206748954071)
(-0.39875064305456537,0.30006288846040796)
(-0.38531716971838625,0.30283999507792886)
(-0.37208105796604957,0.30555289925351053)
(-0.3590398123878327,0.30820248451142124)
(-0.34619096362386426,0.3107896140179272)
(-0.33353206832320675,0.3133151311877521)
(-0.32106070909316015,0.3157798602741257)
(-0.30877449443928257,0.3181846069428052)
(-0.2966710586965615,0.3205301588304653)
(-0.2847480619521609,0.32281728608781574)
(-0.2730031899601771,0.32504674190783084)
(-0.261434154048781,0.3272192630394401)
(-0.2500386910201439,0.3293355702870348)
(-0.23881456304350643,0.3313963689961404)
(-0.2277595575417411,0.33340234952558084)
(-0.2168714870717678,0.33535418770648195)
(-0.20614818919911132,0.3372525452884191)
(-0.19558752636696167,0.3390980703730384)
(-0.18518738575998714,0.34089139783545513)
(-0.174945679163238,0.3426331497337338)
(-0.164860342816382,0.3443239357067427)
(-0.15492933726356095,0.3459643533606802)
(-0.1451506471991096,0.34755498864453915)
(-0.13552228130939967,0.3490964162148141)
(-0.12604227211103033,0.35058919978968595)
(-0.1167086757855942,0.3520338924929971)
(-0.10751957201127867,0.35343103718817115)
(-0.09847306379140652,0.35478116680253713)
(-0.08956727728025894,0.35608480464204245)
(-0.08080036160625635,0.35734246469679337)
(-0.07217048869274657,0.3585546519375774)
(-0.06367585307655765,0.3597218626036097)
(-0.05531467172448755,0.3608445844817353)
(-0.047085183847895125,0.3619232971773034)
(-0.03898565071555752,0.36295847237691986)
(-0.03101435546492986,0.36395057410330733)
(-0.023169602911967877,0.3649000589624584)
(-0.015449719359639392,0.36580737638329397)
(-0.007853052405274393,0.3666729688500097)
(-0.0003779707468555503,0.36749727212732514)
(0.006977136011595415,0.36828071547879043)
(0.014213857555444295,0.3690237218783578)
(0.021333763055563462,0.369726708215384)
(0.02833840136501925,0.37039008549323066)
(0.035229301216258224,0.371014259021657)
(0.04200797141865241,0.3715996286031353)
(0.048675901056342764,0.37214658871327777)
(0.05523455968626083,0.3726555286755257)
(0.061685397536272106,0.3731268328302437)
(0.06802984570332359,0.37356088069838095)
(0.07426931635154226,0.37395804713984965)
(0.08040520291019337,0.37431870250674304)
(0.08643888027143112,0.3746432127915609)
(0.09237170498776467,0.37493193977055234)
(0.09820501546919147,0.37518524114234536)
(0.10394013217990246,0.37540347066192226)
(0.10957835783452989,0.375586978270167)
(0.11512097759386239,0.375736110219024)
(0.1205692592599738,0.37585120919243087)
(0.12592445347072034,0.3759326144231275)
(0.13118779389354465,0.37598066180546547)
(0.13636049741855408,0.375995684004323)
(0.1414437643508085,0.3759780105602303)
(0.14643877860179474,0.3759279679908254)
(0.15134670788002985,0.3758458798887279)
(0.156168703880766,0.37573206701594253)
(0.16090590247474695,0.37558684739488396)
(0.16555942389599473,0.3754105363961233)
(0.17013037292858077,0.3752034468229447)
(0.17461983909235304,0.37496588899280703)
(0.17902889682759107,0.37469817081579954)
(0.18335860567855192,0.3744005978701781)
(0.18761001047589074,0.37407347347505776)
(0.19178414151791345,0.37371709876036996)
(0.19588201475065498,0.3733317727341223)
(0.19990463194674346,0.3729177923470924)
(0.20385298088303574,0.3724754525549912)
(0.20772803551700586,0.37200504637818205)
(0.2115307561618602,0.3715068649590523)
(0.21526208966036975,0.37098119761706516)
(0.2189229695573939,0.37042833190160956)
(0.22251431627109255,0.3698485536426736)
(0.22603703726279806,0.36924214699944624)
(0.22949202720555303,0.36860939450687125)
(0.2328801681512879,0.3679505771202574)
(0.23620232969662672,0.36726597425797103)
(0.2394593691473348,0.3665558638422863)
(0.24265213168136465,0.36582052233844947)
(0.24578145051052988,0.3650602247920118)
(0.2488481470407683,0.3642752448644738)
(0.2518530310310031,0.3634658548673124)
(0.2547969007506023,0.3626323257944196)
(0.25768054313541244,0.3617749273530178)
(0.2605047339423723,0.3608939279930957)
(0.2632702379027035,0.3599895949354052)
(0.2659778088736655,0.3590621941980672)
(0.2686281899888705,0.3581119906218422)
(0.271222113807158,0.3571392478940894)
(0.27376030246003064,0.35614422857147804)
(0.27624346779762354,0.3551271941014804)
(0.27867231153323446,0.3540884048426903)
(0.28104752538639954,0.35302812008401907)
(0.28336979122450623,0.3519465980627905)
(0.285639781202952,0.3508440959817978)
(0.2878581579038612,0.3497208700253382)
(0.29002557447333577,0.34857717537428634)
(0.2921426747572678,0.34741326622022306)
(0.29421009343570875,0.3462293957786696)
(0.2962284561558031,0.34502581630145035)
(0.29819837966329255,0.34380277908822976)
(0.3001204719325985,0.3425605344972378)
(0.3019953322954944,0.34129933195522866)
(0.3038235515683723,0.3400194199666845)
(0.30560571217810983,0.33872104612231424)
(0.30734238828655114,0.33740445710683)
(0.30903414591360506,0.3360698987060736)
(0.31068154305896195,0.33471761581347764)
(0.31228512982244566,0.33334785243589465)
(0.31384544852299145,0.3319608516988159)
(0.31536303381625885,0.330556855851)
(0.31683841281087577,0.32913610626852335)
(0.3182721051833337,0.32769884345828604)
(0.3196646232914911,0.3262453070609792)
(0.32101647228674485,0.32477573585354735)
(0.32232815022480915,0.3232903677511723)
(0.32360014817515476,0.3217894398087809)
(0.324832950329074,0.3202731882221299)
(0.32602703410639916,0.3187418483284718)
(0.3271828702608698,0.31719565460684596)
(0.3283009229841633,0.31563484067799447)
(0.3293816500085983,0.3140596393039633)
(0.3304255027085268,0.31247028238738356)
(0.33143292620042814,0.31086700097046494)
(0.3324043594417349,0.30925002523373046)
(0.33334023532862844,0.30761958449453375)
(0.334240980791442,0.30597590720510354)
(0.33510701689114075,0.3043192209509402)
(0.3359387589123635,0.30264975244833503)
(0.33673661645636965,0.3009677275420477)
(0.33750099353263524,0.2992733712026971)
(0.3382322886492807,0.2975669075239404)
(0.3389308949023668,0.29584855971944823)
(0.3395972000640487,0.2941185501196593)
(0.34023158666959447,0.2923771001683316)
(0.34083443210326114,0.29062443041887065)
(0.34140610868302396,0.28886076053045256)
(0.3419469837441427,0.2870863092639413)
(0.3424574197215608,0.28530129447760005)
(0.342937774231134,0.283505933122631)
(0.3433884001496575,0.28170044123854326)
(0.3438096456937149,0.2798850339483755)
(0.34420185449732493,0.2780599254538057)
(0.34456536568841145,0.276225329030166)
(0.34490051396408816,0.27438145702140554)
(0.34520762966479496,0.2725285208350174)
(0.34548703884730386,0.270666730936973)
(0.3457390633566205,0.26879629684668166)
(0.34596402089683576,0.26691742713199407)
(0.34616222510094685,0.26503032940428206)
(0.3463339855997081,0.26313521031358117)
(0.34647960808954503,0.2612322755438211)
(0.3465993943995675,0.25932172980811424)
(0.3466936425577247,0.25740377684410876)
(0.3467626468561188,0.2554786194093735)
(0.34680669791549723,0.25354645927679487)
(0.3468260827489316,0.2516074972299499)
(0.3468210844931104,0.24966193256227096)
(0.3467919836800324,0.24770996510972068)
(0.34673905668209276,0.24575179214401233)
(0.3466625767099779,0.24378761044017802)
(0.3465628136705886,0.24181761575725447)
(0.3464400342247949,0.23984200283327342)
(0.3462945018442746,0.23786096538029558)
(0.346126476867475,0.23587469607946787)
(0.3459362165547015,0.23388338657613017)
(0.3457239751423342,0.23188722747495974)
(0.34549000389619094,0.2298864083351656)
(0.34523455116404506,0.227881117665727)
(0.3449578624273061,0.22587154292069306)
(0.3446601803518645,0.22385787049452843)
(0.34434174483813434,0.2218402857175233)
(0.34400279307026127,0.2198189728512605)
(0.343643559564561,0.21779411508414986)
(0.34326427621713684,0.21576589452701894)
(0.34286517235074326,0.21373449220878435)
(0.342446474760853,0.2117000880721809)
(0.34200840776097596,0.20966286096957049)
(0.34155119322721816,0.2076229886588159)
(0.3410750506420948,0.20558064779924218)
(0.34058019713760823,0.20353601394765986)
(0.3400668475375993,0.2014892615544818)
(0.3395352143993746,0.1994405639599047)
(0.3389855080546295,0.19739009339018612)
(0.33841793664966824,0.1953380209539936)
(0.3378327061849252,0.19328451663884166)
(0.33723002055381435,0.19122974930761585)
(0.3366100815808869,0.189173886695174)
(0.33597308905934004,0.18711709540504806)
(0.33531924078784614,0.18505954090621662)
(0.3346487326067511,0.18300138752998393)
(0.33396175843361636,0.18094279846693112)
(0.33325851029813514,0.17888393576396927)
(0.3325391783764131,0.1768249603214749)
(0.3318039510246557,0.1747660318905284)
(0.33105301481220106,0.17270730907022136)
(0.3302865545540022,0.17064894930508284)
(0.32950475334247314,0.1685911088825755)
(0.32870779257878285,0.1665339429306986)
(0.3278958520035396,0.16447760541567377)
(0.3270691097269358,0.16242224913973316)
(0.3262277422583005,0.1603680257389879)
(0.3253719245351209,0.1583150856814029)
(0.32450182995149957,0.15626357826485496)
(0.32361763038608043,0.1542136516152897)
(0.32271949622943763,0.15216545268496381)
(0.3218075964109461,0.15011912725079957)
(0.32088209842512094,0.14807481991280064)
(0.31994316835745507,0.146032674092587)
(0.31899097090975226,0.14399283203201269)
(0.3180256694249611,0.1419554347918731)
(0.3170474259115232,0.1399206222507136)
(0.31605640106722815,0.13788853310371335)
(0.31505275430261326,0.13585930486168166)
(0.3140366437638535,0.13383307385011942)
(0.3130082263552523,0.13180997520840163)
(0.31196765776121493,0.12979014288902277)
(0.31091509246780813,0.12777370965694423)
(0.30985068378386316,0.1257608070890317)
(0.3087745838616527,0.12375156557357715)
(0.30768694371712585,0.12174611430991111)
(0.30658791324973167,0.11974458130809977)
(0.3054776412618202,0.11774709338873544)
(0.30435627547762983,0.1157537761828041)
(0.30322396256187967,0.11376475413164784)
(0.30208084813795044,0.11178015048700617)
(0.30092707680568714,0.10980008731114495)
(0.29976279215880175,0.10782468547706944)
(0.29858813680191787,0.1058540646688246)
(0.29740325236718923,0.10388834338184887)
(0.2962082795306292,0.10192763892347159)
(0.2950033580280069,0.0999720674134299)
(0.2937886266704201,0.09802174378449353)
(0.29256422335949617,0.09607678178316768)
(0.29133028510230324,0.09413729397048709)
(0.29008694802581586,0.09220339172284914)
(0.2888343473911423,0.09027518523296713)
(0.2875726176073848,0.08835278351088253)
(0.28630189224516656,0.08643629438505032)
