(-9.319263298818214,4.590471622960756e-13)
(-9.317537448677273,0.11473851923042365)
(-9.312363452099053,0.22933900388228848)
(-9.303751953147431,0.343663886126746)
(-9.29172063385289,0.4575765284559791)
(-9.276294127645318,0.5709416809405894)
(-9.257503899245435,0.683625929103277)
(-9.235388092081806,0.7954981294485273)
(-9.209991344579276,0.9064298298269935)
(-9.181364576924755,1.0162956719830323)
(-9.149564750153974,1.1249737738310612)
(-9.114654599615974,1.2323460892278317)
(-9.076702345057022,1.3382987432496853)
(-9.035781379721735,1.442722341242517)
(-8.991969940994021,1.5455122501835075)
(-8.945350765194068,1.6465688511734577)
(-8.89601072920885,1.7457977621627845)
(-8.84404048166406,1.843110030298679)
(-8.78953406634421,1.938422293561918)
(-8.732588540537856,2.03165691163545)
(-8.673303590926642,2.122742066209999)
(-8.611781149553526,2.211611831181374)
(-8.548125012298533,2.2982062134273247)
(-8.482440462162792,2.382471165066463)
(-8.414833899516323,2.464358568296051)
(-8.345412481304582,2.5438261940780906)
(-8.274283771036394,2.6208376360930856)
(-8.201555401194664,2.695362221507594)
(-8.127334749523577,2.767374900205171)
(-8.051728630455223,2.8368561142105935)
(-7.974843002747002,2.9037916490951927)
(-7.896782694211173,2.9681724691872104)
(-7.817651144232095,3.0299945384269233)
(-7.737550164586496,3.089258628702665)
(-7.6565797189098435,3.1459701174828356)
(-7.574837720988484,3.200138776521774)
(-7.492419851904326,3.251778553365992)
(-7.409419395917073,3.300907347323259)
(-7.325927094839352,3.34754678148248)
(-7.242031020542764,3.391721972288706)
(-7.157816465128415,3.4334612980869132)
(-7.0733658482036175,3.472796167951943)
(-6.988758640627307,3.509760792021838)
(-6.9040713040199515,3.5443919544491895)
(-6.819377245278841,3.5767287899813787)
(-6.734746785296089,3.6068125650770373)
(-6.650247141044074,3.6346864643637096)
(-6.5659424201717,3.6603953831428004)
(-6.481893627231556,3.683985726542052)
(-6.398158680683174,3.7055052158486936)
(-6.31479243977055,3.725002702423795)
(-6.231846748816937,3.7425279916515652)
(-6.1493704477027125,3.758131665939917)
(-6.0674094736034005,3.771864931781553)
(-5.98600688563524,3.7837794621928142)
(-5.905202936880102,3.7939272530517685)
(-5.825035143186919,3.8023604871697523)
(-5.7455383563073115,3.809131406877606)
(-5.666744840697945,3.8142921950306334)
(-5.588684353360357,3.817894864295678)
(-5.511384226128022,3.8199911545481235)
(-5.434869449849635,3.820632438176032)
(-5.359162759957069,3.819869633062411)
(-5.2842847229453325,3.8177531229948145)
(-5.210253823330188,3.8143326852335804)
(-5.1370865506865435,3.8096574249558963)
(-5.06479748640684,3.8037757162820416)
(-4.993399389853807,3.796735149582563)
(-4.922903283615271,3.7885824847602203)
(-4.8533185376007335,3.7793636101982475)
(-4.78465295174979,3.7691235070663747)
(-4.716912837150904,3.757906218677977)
(-4.650103095396136,3.745754824595393)
(-4.584227296022431,3.732711419185636)
(-4.519287751913566,3.7188170943351935)
(-4.455285592558573,3.7041119260402238)
(-4.39222083508249,3.6886349645969303)
(-4.330092452983768,3.672424228126177)
(-4.268898442529467,3.655516699176197)
(-4.208635886774771,3.637948324157568)
(-4.149301017187305,3.619754015375237)
(-4.090889272882455,3.6009676554354173)
(-4.03339535739532,3.581622103802075)
(-3.976813293197527,3.5617492053259565)
(-3.921136473727125,3.54137980052553)
(-3.866357713150928,3.520543737457234)
(-3.812469293822839,3.4992698849987285)
(-3.7594630114940273,3.4775861473860457)
(-3.7073302183236665,3.455519479854815)
(-3.6560618637431754,3.43309590524553)
(-3.6056485332304464,3.4103405314422894)
(-3.5560804850534047,3.3872775695235795)
(-3.5073476850445284,3.363930352512372)
(-3.459439839469644,3.3403213546212585)
(-3.4123464260555996,3.316472210896245)
(-3.366056723242176,3.2924037371705337)
(-3.320559837724026,3.2681359502467844)
(-3.275844730348441,3.2436880882332115)
(-3.231900240434562,3.219078630965337)
(-3.1887151085790486,3.194325320451335)
(-3.146277998012465,3.169445181284605)
(-3.104577514569785,3.1444545409726548)
(-3.063602225337048,3.1193690501363656)
(-3.023340676035086,3.0942037025384064)
(-2.9837814071998063,3.068972854904144)
(-2.9449129692168645,3.0436902465022477)
(-2.906723936267043,3.018369018456177)
(-2.869202919236992,2.9930217327612385)
(-2.8323385776481604,2.967660390985141)
(-2.796119630655109,2.94229645263303)
(-2.760534867162498,2.916940853160795)
(-2.725573155108313,2.89160402162299)
(-2.691223449959068,2.8662958979440356)
(-2.6574748024609494,2.84102594980363)
(-2.624316365689037,2.8158031891291775)
(-2.5917374014350743,2.790636188189894)
(-2.559727285972428,2.7655330952888915)
(-2.5282755152352614,2.7405016500510095)
(-2.4973717094472456,2.7155491983055535)
(-2.467005617233517,2.690682706564253)
(-2.437167119248021,2.6659087760959057)
(-2.407846231346841,2.6412336566001096)
(-2.379033107336633,2.6166632594833823)
(-2.350718041325832,2.592203170741733)
(-2.3228914697049188,2.567858663454428)
(-2.2955439727806914,2.543634709894317)
(-2.2686662760881964,2.5195359932605643)
(-2.2422492514027144,2.4955669190401566)
(-2.2162839174730244,2.471731626004854)
(-2.190761440496025,2.448033996850679)
(-2.165673134351649,2.4244776684872167)
(-2.1410104606160276,2.4010660419843255)
(-2.116765028369804,2.377802292183933)
(-2.092928593817531,2.3546893769848456)
(-2.0694930597332033,2.331730046308459)
(-2.0464504747461087,2.3089268507535428)
(-2.0237930324802527,2.286282149948014)
(-2.0015130705599598,2.26379812060593)
(-1.9796030694933737,2.2414767642976994)
(-1.9580556514449532,2.2193199149415648)
(-1.9368635789072928,2.1973292460243616)
(-1.916019753282034,2.1755062775594434)
(-1.8955172133789586,2.1538523827895877)
(-1.8753491338418036,2.1323687946426295)
(-1.8555088235087773,2.1110566119473972)
(-1.8359897237152412,2.0899168054174577)
(-1.8167854065455307,2.06895022341)
(-1.7978895730404107,2.048157597467099)
(-1.7792960513662492,2.0275395476463896)
(-1.760998794951538,2.0070965876481153)
(-1.742991880596035,1.9868291297452891)
(-1.725269506557403,1.9667374895235985)
(-1.7078259906198876,1.9468218904374948)
(-1.6906557681492225,1.9270824681887815)
(-1.6737533901376775,1.9075192749338181)
(-1.6571135212428174,1.8881322833253207)
