(-7.042310543670938e-13,-8.346611332724954)
(-0.17601912219936877,-8.344432532536775)
(-0.3518065532608566,-8.337900818502787)
(-0.5271313870125569,-8.327030227038735)
(-0.7017642818914558,-8.31184407512644)
(-0.8754782300108831,-8.292374845473237)
(-1.0480493105107473,-8.268664027176582)
(-1.2192574222311983,-8.240761913310797)
(-1.3888869909824295,-8.208727357222944)
(-1.5567276469667612,-8.17262748967041)
(-1.7225748682384228,-8.132537399248465)
(-1.8862305864561915,-8.088539778838815)
(-2.0475037515881382,-8.040724541056091)
(-2.2062108526597877,-7.989188405876232)
(-2.362176392090211,-7.934034463796626)
(-2.5152333116281063,-7.875371718002038)
(-2.6652233683748254,-7.813314609091969)
(-2.8119974598568733,-7.747982525965031)
(-2.955415897580125,-7.679499306454878)
(-3.0953486289557914,-7.607992731272213)
(-3.2316754079282934,-7.533594014730301)
(-3.3642859150528515,-7.456437295620559)
(-3.493079828160987,-7.376659131462609)
(-3.617966845111875,-7.294397999183889)
(-3.738866660453301,-7.209793805090632)
(-3.8557088981056498,-7.122987406779073)
(-3.9684330024342684,-7.034120149406697)
(-4.076988090288844,-6.943333418502459)
(-4.181332766762776,-6.8507682112457005)
(-4.281434907561397,-6.756564727889995)
(-4.377271410966149,-6.660861984753494)
(-4.468827922443989,-6.563797449945158)
(-4.55609853497906,-6.465506702749042)
(-4.639085468199519,-6.366123117349689)
(-4.717798729338556,-6.265777571352488)
(-4.792255759008093,-6.164598179335931)
(-4.862481064679065,-6.062710051469365)
(-4.928505844656669,-5.9602350770415615)
(-4.990367605215442,-5.857291732573021)
(-5.048109773420528,-5.7539949140290885)
(-5.1017813080107794,-5.650455792512015)
(-5.151436310559432,-5.546781692688075)
(-5.197133638961296,-5.443075993100678)
(-5.238936525124554,-5.339438047431582)
(-5.276912198572331,-5.235963125699373)
(-5.311131517486355,-5.1327423743266305)
(-5.3416686085542215,-5.02986279396363)
(-5.36860051681442,-4.927407233926374)
(-5.392006866833087,-4.825454409601212)
(-5.411969535460145,-4.724078896950701)
(-5.428572335563903,-4.623351213616471)
(-5.441900716851424,-4.523337839561117)
(-5.452041477373227,-4.424101284203174)
(-5.459082489819848,-4.325700156294547)
(-5.463112442037741,-4.228189242476238)
(-5.464220591866904,-4.131619593488289)
(-5.462496536317494,-4.036038617048595)
(-5.4580299950122875,-3.9414901764634886)
(-5.450910607745224,-3.848014694081638)
(-5.441227745937663,-3.7556492587536336)
(-5.429070337713686,-3.6644277365115463)
(-5.414526706263818,-3.5743808837350866)
(-5.3976844211219674,-3.4855364621233944)
(-5.3786301619431045,-3.397919354843378)
(-5.357449594338578,-3.311551683276524)
(-5.334227257301526,-3.226452923835906)
(-5.3090464617361155,-3.1426400243734016)
(-5.281989199590806,-3.0601275197437094)
(-5.253136063087038,-2.9789276461363263)
(-5.222566173530217,-2.8990504538292576)
(-5.190357119189106,-2.8205039180585647)
(-5.156584901732382,-2.7432940477359895)
(-5.121323890716696,-2.667424991782712)
(-5.084646785628762,-2.5928991428808428)
(-5.046624584994327,-2.5197172384754407)
(-5.007326562079217,-2.447878458888825)
(-4.966820246721371,-2.37738052243568)
(-4.925171412847952,-2.308219777452008)
(-4.882444071247721,-2.2403912911734887)
(-4.838700467185755,-2.1738889354192708)
(-4.794001082465069,-2.108705469055781)
(-4.748404641557596,-2.044832617231855)
(-4.701968121453433,-1.9822611474039795)
(-4.654746764838508,-1.9209809420972277)
(-4.606794096393544,-1.8609810686168982)
(-4.558161941760493,-1.8022498455107892)
(-4.508900448995324,-1.7447749060126283)
(-4.45905811219575,-1.6885432584546205)
(-4.4086817970566825,-1.6335413437264135)
(-4.357816768116053,-1.5797550898517514)
(-4.306506717469438,-1.5271699637588108)
(-4.254793794747148,-1.4757710203240206)
(-4.202718638162081,-1.4255429487721931)
(-4.150320406450695,-1.3764701165181044)
(-4.09763681154283,-1.3285366105362812)
(-4.0447041518088716,-1.2817262763468567)
(-3.9915573457449516,-1.2360227547058162)
(-3.9382299659682554,-1.191409516088106)
(-3.884754273405525,-1.147869893051656)
(-3.8311612515680205,-1.1053871105696942)
(-3.777480640815929,-1.063944314417697)
(-3.7237409725242645,-1.0235245977000071)
(-3.6699696030708235,-0.9841110255996165)
(-3.6161927475748192,-0.9456866584328499)
(-3.5624355133221193,-0.9082345730888217)
(-3.508721932820131,-0.8717378829314385)
(-3.4550749964317156,-0.8361797562395863)
(-3.4015166845435987,-0.8015434332588846)
(-3.348067999230285,-0.7678122419360643)
(-3.294748995379634,-0.73496961240469)
(-3.2415788112510318,-0.7029990902885044)
(-3.188575698441465,-0.6718843488863004)
(-3.1357570512388504,-0.6416092002998063)
(-3.0831394353456663,-0.6121576055636369)
(-3.0307386159593332,-0.5835136838340231)
(-2.9785695851988785,-0.5556617206906397)
(-2.926646588870258,-0.5285861756035498)
(-2.874983152565268,-0.5022716886150046)
(-2.8235921070913106,-0.4767030862836134)
(-2.7724856132313773,-0.45186538693620737)
(-2.72167518583552,-0.4277438052706253)
(-2.67117171724678,-0.4043237563505718)
(-2.6209855000660616,-0.38159085903171547)
(-2.5711262492618214,-0.35953093885624765)
(-2.5216031236315968,-0.3381300304512679)
(-2.4724247466235307,-0.3173743794645446)
(-2.423599226526922,-0.2972504440694897)
(-2.375134176041667,-0.2777448960694744)
(-2.327036731237165,-0.25884462163005156)
(-2.279313569911849,-0.24053672166607365)
(-2.23197092936501,-0.22280851190924475)
(-2.1850146235930024,-0.20564752268021042)
(-2.1384500599222878,-0.18904149838795642)
(-2.0922822550919986,-0.17297839677797075)
(-2.046515850798956,-0.1574463879494159)
(-2.001155128718207,-0.1424338531603554)
(-1.9562040250122437,-0.12792938343897053)
(-1.91166614434212,-0.11392177801763811)
(-1.8675447733936699,-0.10040004260570777)
(-1.8238428939320512,-0.08735338751586252)
(-1.7805631953976984,-0.07477122565803021)
(-1.7377080870567172,-0.06264317041393473)
(-1.6952797097186505,-0.05095903340454689)
(-1.653279947034323,-0.03970882216193163)
(-1.6117104363863899,-0.02888273771621923)
(-1.570572579384967,-0.01847117210774379)
(-1.5298675519805638,-0.008464705833732761)
(-1.4895963142062778,0.001145894761722994)
(-1.4497596195610494,0.010369680146247543)
(-1.4103580240454654,0.019215520298730693)
(-1.3713918948614245,0.02769210744278023)
(-1.3328614187866945,0.03580795880752313)
(-1.2947666102351247,0.04357141940965673)
(-1.2571073190130542,0.050990664851130935)
(-1.2198832377821582,0.05807370412720918)
(-1.1830939092387414,0.06482838244011097)
(-1.1467387330197394,0.07126238401335669)
(-1.110816972341662,0.07738323490515744)
(-1.0753277603896136,0.08319830581096799)
(-1.0402701064549669,0.08871481485986492)
(-1.0056429018379711,0.09393983039547785)
(-0.9714449255207431,0.0988802737409965)
