(-7.625712097425121,4.604375330122881e-13)
(-7.623968392152271,0.11508599407365652)
(-7.618740879932985,0.23003324707908726)
(-7.610040353843165,0.344703487320026)
(-7.597884743429162,0.45895937864676295)
(-7.582299026892156,0.572664980279103)
(-7.563315109247582,0.6856861971896023)
(-7.5409716675419824,0.7978912180691546)
(-7.51531396449263,0.9091509380368179)
(-7.486393632179048,1.019339363426583)
(-7.454268427656958,1.1283339961822123)
(-7.419001962580973,1.2360161956140343)
(-7.38066340911045,1.3422715155150544)
(-7.339327184530874,1.446990014893974)
(-7.295072617150085,1.5500665408556786)
(-7.247983596123332,1.6514009824412827)
(-7.198148207923666,1.7508984945257096)
(-7.145658362204608,1.8484696911570344)
(-7.09060940980127,1.9440308080044335)
(-7.033099755585562,2.037503833856939)
(-6.973230468832237,2.1288166113798734)
(-6.911104893667905,2.2179029075868044)
(-6.8468282620664755,2.304702454719415)
(-6.780507311725305,2.389160962443639)
(-6.712249911008669,2.471230102465885)
(-6.6421646929824885,2.5508674668467948)
(-6.570360700389478,2.6280365014408167)
(-6.496947043229791,2.7027064160174055)
(-6.422032570422002,2.7748520727236383)
(-6.345725556825665,2.8444538546289224)
(-6.2681334067122965,2.911497516150568)
(-6.1893623745789395,2.9759740171954396)
(-6.109517304009849,3.0378793428686097)
(-6.028701385109146,3.0972143105964207)
(-5.9470159308523804,3.153984366490061)
(-5.864560172539214,3.208199372738315)
(-5.781431074374356,3.2598733877663997)
(-5.697723167059964,3.3090244408334195)
(-5.613528400151229,3.3556743026658684)
(-5.528936012807836,3.399848253640491)
(-5.444032422467962,3.4415748509385575)
(-5.358901130878231,3.4808856959967045)
(-5.27362264683292,3.5178152034787162)
(-5.1882744249076955,3.552400372889357)
(-5.10293081941768,3.584680563846991)
(-5.0176630527853705,3.614697275927484)
(-4.932539197470851,3.642493933888924)
(-4.847624177539775,3.6681156766067664)
(-4.7629797478706095,3.6916091655608385)
(-4.678664551367917,3.713022373044098)
(-4.594734120469475,3.7324044071756646)
(-4.511240919966133,3.7498053295590714)
(-4.428234391832994,3.765275984402489)
(-4.34576100751906,3.7788678360748045)
(-4.263864326878917,3.79063281522876)
(-4.182585062966018,3.8006231735409335)
(-4.101961151936342,3.8088913470727928)
(-4.022027827348083,3.815489828201123)
(-3.942817698180057,3.8204710460209377)
(-3.8643608299302974,3.8238872550830405)
(-3.7866848281958223,3.825790432292682)
(-3.709814924174506,3.826232181764932)
(-3.633774061569868,3.825263647406048)
(-3.558582984419151,3.8229354329682224)
(-3.4842603254039406,3.819297529307058)
(-3.4108226942404944,3.8143992485569744)
(-3.338284765783772,3.8082891649288393)
(-3.266659367514602,3.8010150618264817)
(-3.195957566113404,3.7926238849738456)
(-3.1261887528563412,3.7831617012422107)
(-3.057360727600488,3.7726736628668363)
(-2.989479781153642,3.7612039767443557)
(-2.9225507758517124,3.748795878505921)
(-2.8565772241921175,3.735491611066331)
(-2.791561365395418,3.721332407355952)
(-2.7275042397894675,3.7063584769498394)
(-2.6644057609306753,3.6906089963170414)
(-2.602264785395757,3.674122102422431)
(-2.541079180194373,3.6569348894232454)
(-2.48084588776874,3.6390834082129113)
(-2.421560988560335,3.620602668575446)
(-2.3632197611498493,3.601526643726738)
(-2.305816739896444,3.581888277016419)
(-2.2493457702836706,3.56171949061116)
(-2.19380006174221,3.5410511959386417)
(-2.1391722381680256,3.519913305727633)
(-2.085454386100621,3.4983347474671773)
(-2.0326381006177967,3.4763434781246727)
(-1.9807145289963892,3.45396649997214)
(-1.9296744121927676,3.4312298773797743)
(-1.8795081242003988,3.408158754445406)
(-1.830205709344795,3.384777373337709)
(-1.7817569175783492,3.3611090932397683)
(-1.7341512378394353,3.3371764097880656)
(-1.687377929541301,3.3130009749099845)
(-1.641426052257158,3.2886036169706108)
(-1.596284493668257,3.2640043611468523)
(-1.5519419958417873,3.239222449953823)
(-1.5083871799052027,3.2142763638549217)
(-1.4656085691830143,3.189183841893171)
(-1.4235946108613275,3.1639619022871863)
(-1.38233369624441,3.1386268629405425)
(-1.341814179666445,3.113194361818393)
(-1.3020243961202123,3.087679377149925)
(-1.262952677663136,3.0620962474197375)
(-1.2245873686594624,3.036458691115245)
(-1.1869168399157577,3.010779826201175)
(-1.149929501765201,2.985072189295666)
(-1.1136138161543843,2.9593477545258815)
(-1.077958307784571,2.9336179520440093)
(-1.042951574357483,2.9078936861873887)
(-1.0085822959739676,2.882185353269077)
(-0.9748392437319591,2.8565028589875063)
(-0.9417112875684006,2.8308556354461345)
(-0.9091874033879742,2.805252657775904)
(-0.877256679519678,2.779702460355193)
(-0.845908322540571,2.754213152623571)
(-0.815131662504267,2.728792434487165)
(-0.7849161576100581,2.7034476113148247)
(-0.7552513983469434,2.6781856085254665)
(-0.7261271111451831,2.653012985768093)
(-0.697533161566512,2.6279359506969633)
(-0.66945955706254,2.6029603723452746)
(-0.6418964493295126,2.5780917941014625)
(-0.6148341362861064,2.5533354462929823)
(-0.5882630636996253,2.5286962583829533)
(-0.5621738264846204,2.5041788707856303)
(-0.536557169696714,2.4797876463071296)
(-0.5114039892431815,2.4555266812181635)
(-0.4867053323306952,2.431399815965948)
(-0.46245239766950186,2.407410645532663)
(-0.4386365354522574,2.3835625294481115)
(-0.41524924712469835,2.359858601464373)
(-0.39228218496437917,2.336301778900415)
(-0.3697271514827523,2.312894771664719)
(-0.34757609866498085,2.2896400909640247)
(-0.3258211270610369,2.2665400577063752)
(-0.30445448474082953,2.2435968106066237)
(-0.283468566125322,2.2208123140025617)
(-0.2628559107048897,2.19818836538977)
(-0.24260920165546632,2.1757266026832935)
(-0.22272126436237255,2.153428511214081)
(-0.20318506486108276,2.1312954304681075)
(-0.18399370820363975,2.109328560575992)
(-0.16514043675889126,2.087528968560473)
(-0.1466186284536542,2.0658975943509668)
(-0.12842179496306397,2.044435256568555)
(-0.110543579855301,2.0231426580940517)
(-0.09297775669784494,2.0020203914222985)
(-0.07571822713063764,1.9810689438112634)
(-0.058759018911578434,1.9602887022325053)
(-0.04209428393931183,1.9396799581296742)
(-0.025718296257925308,1.9192429119915941)
(-0.009625450047843194,1.8989776777462353)
(0.0061897423931307535,1.8788842869818208)
(0.021732652674954743,1.858962693001051)
(0.03700853834329615,1.8392127747143276)
(0.05202254490716037,1.8196343403776718)
(0.06677970786334392,1.8002271311808675)
(0.08128495471506751,1.7809908246911852)
(0.09554310698237153,1.7619250381579181)
(0.10955888220204275,1.743029331682739)
(0.123336895915071,1.7243032112608097)
(0.13688166363974477,1.7057461316973463)
(0.15019760282872868,1.6873574994042453)
(0.1632890348085661,1.669136675081204)
(0.17616018670023226,1.6510829762856556)
(0.18881519331947105,1.6331956798956484)
(0.2012580990558044,1.615474024469735)
(0.21349285972920234,1.5979172125077519)
(0.2255233444235338,1.5805244126162494)
(0.2373533372960084,1.5632947615822397)
(0.24898653936194617,1.546227366358757)
(0.2604265702542767,1.5293213059656359)
(0.2716769699572928,1.5125756333087834)
(0.2827412005142146,1.4959893769210906)
(0.293622647708252,1.4795615426280304)
(0.30432462271687777,1.4632911151408605)
(0.3148503637390857,1.4471770595802589)
(0.3252030375954938,1.4312183229330828)
(0.33538574130115734,1.4154138354448822)
(0.34540150361103633,1.399762511950675)
(0.35525328653807187,1.3842632531463994)
(0.3649439868438911,1.3689149468033976)
(0.37447643750218024,1.3537164689281747)
(0.3838534091347849,1.3386666848696156)
(0.3930776114206751,1.3237644503757637)
(0.4021516944778918,1.3090086126021887)
(0.4110782502186703,1.2943980110739046)
(0.4198598136779289,1.2799314786027156)
(0.42849886431536055,1.2656078421618113)
(0.4369978272914055,1.2514259237193606)
(0.44535907471735947,1.2373845410327606)
(0.4535849268799492,1.2234825084051557)
(0.46167765344066897,1.2097186374057725)
(0.46963947461022604,1.1960917375555096)
(0.47747256229842494,1.1826006169792254)
(0.48517904123981825,1.169244083026036)
(0.4927609900954873,1.1560209428589516)
(0.5002204425312707,1.142930004015057)
(0.5075593882727968,1.1299700749374695)
(0.5147797741376146,1.1171399654801668)
(0.5218835049976639,1.1044384873765487)
(0.5288724449537496,1.0918644547500806)
(0.5357484180288093,1.0794166844366286)
(0.5425132092839919,1.0670939964770685)
(0.5491685657014388,1.0548952144791275)
(0.555716197086583,1.0428191659821235)
(0.5621577769501189,1.0308646828016772)
(0.5684949433700435,1.0190306013552175)
(0.5747292998341198,1.0073157629691085)
(0.5808624160631377,0.9957190141681747)
(0.5868958288153489,0.9842392069483741)
(0.592831042672407,0.9728751990333304)
(0.5986695308072282,0.9616258541154363)
(0.6044127357340635,0.9504900420821678)
(0.6100620700412047,0.9394666392282635)
(0.615618917106621,0.9285545284543761)
(0.6210846317969078,0.917752599452774)
(0.6264605411498738,0.9070597488806725)
(0.6317479450411201,0.8964748805217255)
(0.6369481168349221,0.8859969054361975)
(0.64206230401978,0.8756247421003114)
(0.6470917288289245,0.8653573165352669)
(0.6520375888461395,0.8551935624263602)
(0.6569010575971725,0.8451324212326751)
(0.661683285127093,0.8351728422877431)
(0.6663853985638658,0.8253137828915932)
(0.6710085026684662,0.8155542083945805)
(0.6755536803718152,0.8058930922733525)
(0.6800219932988445,0.7963294161993243)
(0.6844144822799629,0.7868621701000089)
(0.6887321678502144,0.7774903522135111)
(0.6929760507363968,0.7682129691365317)
(0.6971471123324267,0.7590290358661539)
(0.7012463151631984,0.749937575835725)
(0.7052746033372068,0.7409376209451024)
(0.7092329029882012,0.7320282115855288)
(0.7131221227060962,0.7232083966594025)
(0.7169431539574174,0.7144772335951783)
(0.7206968714954891,0.7058337883576371)
(0.7243841337606389,0.697277135453761)
(0.7280057832706105,0.6888063579344056)
(0.731562647001445,0.6804205473920051)
(0.7350555367590434,0.6721188039544949)
(0.7384852495416099,0.6639002362756341)
(0.7418525678932204,0.6557639615219337)
(0.7451582602487049,0.6477091053563412)
(0.7484030812700448,0.6397348019188672)
(0.7515877721745048,0.6318401938043027)
(0.7547130610546785,0.6240244320371919)
(0.7577796631906432,0.6162866760441962)
(0.7607882813544108,0.608626093624002)
(0.7637396061068704,0.6010418609149001)
(0.7666343160873718,0.5935331623601656)
(0.7694730782961691,0.5860991906713733)
(0.7722565483698448,0.5787391467897494)
(0.7749853708499291,0.5714522398456922)
(0.7776601794448486,0.5642376871165542)
(0.7802815972853702,0.5570947139828064)
(0.7828502371737084,0.5500225538826597)
(0.7853667018264293,0.5430204482652751)
(0.7878315841113189,0.5360876465426141)
(0.7902454672783534,0.5292234060400488)
(0.792608925184905,0.5224269919457948)
(0.7949225225153483,0.515697677259258)
(0.7971868149951701,0.5090347427383671)
(0.7994023495997443,0.5024374768459657)
(0.8015696647578805,0.49590517569533726)
(0.8036892905502969,0.48943714299495433)
(0.805761748903093,0.4830326899923226)
(0.8077875537764229,0.47669113541749036)
(0.8097672113484036,0.4704118054255869)
(0.8117012201944342,0.46419403353898653)
(0.8135900714620015,0.45803716058890276)
(0.8154342490410988,0.4519405346565457)
(0.8172342297303766,0.4459035110138518)
(0.8189904833990929,0.43992545206385775)
(0.8207034731450119,0.4340057272807482)
(0.8223736554483138,0.42814371314962996)
(0.8240014803216413,0.42233879310605793)
(0.8255873914563493,0.4165903574753733)
(0.8271318263650819,0.4108978034118612)
(0.8286352165207487,0.40526053483779306)
(0.830097987491984,0.39967796238235953)
(0.8315205590751951,0.394149503320546)
(0.8329033454232674,0.3886745815119665)
(0.8342467551710203,0.3832526273396891)
(0.8355511915574739,0.377883077649087)
(0.8368170525450359,0.3725653756867229)
(0.8380447309356556,0.36729897103931164)
(0.8392346144840312,0.36208331957277134)
(0.8403870860079543,0.3569178833713895)
(0.8415025234958406,0.3518021306771246)
(0.8425813002115254,0.34673553582906314)
(0.843623784796404,0.3417175792030505)
(0.8446303413689611,0.3367477471515229)
(0.8456013296217725,0.3318255319435338)
