(-19.56108528613324,4.586165723139295e-13)
(-19.558937668932938,0.11464335518611436)
(-19.552497841993954,0.22922351527068194)
(-19.541774867418493,0.3436774462342111)
(-19.526783809189887,0.45794243529608253)
(-19.507545674209563,0.571956249236615)
(-19.48408733037983,0.6856572899868965)
(-19.45644140235387,0.7989847466189772)
(-19.424646145738482,0.9118787429043267)
(-19.388745300689628,1.0242804796521152)
(-19.34878792598379,1.1361323710897757)
(-19.30482821477765,1.2473781746056496)
(-19.25692529338457,1.3579631132364984)
(-19.20514300449581,1.4678339903503226)
(-19.14954967635805,1.576939296046371)
(-19.090217879485675,1.6852293048683638)
(-19.027224172535455,1.7926561645028958)
(-18.960648839003643,1.8991739752116754)
(-18.89057561642098,2.004738859822743)
(-18.81709141971959,2.1093090241812145)
(-18.740286060429202,2.2128448080334877)
(-18.660251963328083,2.315308726389514)
(-18.57708388212868,2.41666550147492)
(-18.49087861571961,2.5168820854478238)
(-18.401734726416496,2.6159276741136708)
(-18.309752261594607,2.7137737119248233)
(-18.21503247998898,2.8103938885996245)
(-18.11767758385289,2.90576412773811)
(-18.01779045806601,2.9998625678481186)
(-17.915474417179443,3.092669536226435)
(-17.810832961278763,3.184167516164576)
(-17.70396954143843,3.274341107968253)
(-17.594987335434013,3.3631769842934247)
(-17.483989034271687,3.450663840310415)
(-17.37107663999143,3.5367923392113294)
(-17.256351275099185,3.6215550535749417)
(-17.139913003886708,3.7049464030980603)
(-17.02186066580615,3.7869625891932186)
(-16.902291720979687,3.8676015269399806)
(-16.781302107843754,3.9468627748614957)
(-16.658986112852933,4.024747462979663)
(-16.5354362520999,4.101258219581726)
(-16.410743164646284,4.176399097108778)
(-16.28499551730372,4.250175497552871)
(-16.158279920555685,4.322594097724451)
(-16.030680855268038,4.39366277472629)
(-15.902280609800014,4.463390531943934)
(-15.773159227096947,4.531787425836487)
(-15.64339446132135,4.598864493785454)
(-15.513061743559632,4.664633683233546)
(-15.382234156127584,4.729107782320232)
(-15.251004594661334,4.7923055948332705)
(-15.11939771003693,4.854231233500338)
(-14.987501001983494,4.914904546436905)
(-14.855378056274601,4.974341028440902)
(-14.723090093190432,5.032556696301178)
(-14.590695983120995,5.0895680314515666)
(-14.45825226737169,5.14539192493881)
(-14.325813183716145,5.200045624744879)
(-14.193430696255929,5.253546685488938)
(-14.061154529162225,5.305912920520233)
(-13.92903220389194,5.357162356400435)
(-13.797109079488363,5.407313189762418)
(-13.665428395595493,5.45638374652215)
(-13.53403131783393,5.504392443411193)
(-13.40295698520592,5.5513577517891575)
(-13.272242559216426,5.597298163688447)
(-13.14192327441673,5.642232160037517)
(-13.01203249009614,5.6861781810036245)
(-12.882601742866436,5.729154598391835)
(-12.753660799902152,5.77117969003342)
(-12.625237712617764,5.812271616093991)
(-12.497358870580456,5.852448397229586)
(-12.37004905547365,5.8917278945174045)
(-12.243331523128576,5.930127801660207)
(-12.117227944282158,5.967665586081386)
(-11.991758627080916,6.0043585367763095)
(-11.866942456747843,6.040223708699038)
(-11.742796975829933,6.0752779208894845)
(-11.619338435442257,6.109537745489324)
(-11.49658184568122,6.143019498016278)
(-11.374541025130727,6.175739228826828)
(-11.253228649395197,6.207712715699143)
(-11.13265629860293,6.238955457469871)
(-11.012834503832051,6.269482668660465)
(-10.893772792419455,6.299309275030745)
(-10.775479732120727,6.328449909999715)
(-10.657962974095987,6.356918911875778)
(-10.541229294701967,6.384730321840762)
(-10.42528463607937,6.411897882634754)
(-10.31013414552496,6.438435037890564)
(-10.19578221364738,6.464354932069399)
(-10.082232511307087,6.489670410951406)
(-9.969488025345719,6.514394022637004)
(-9.857551093113427,6.538538019017223)
(-9.746423435805761,6.56211435767334)
(-9.636106190624568,6.585134704168352)
(-9.526599941779498,6.607610434694771)
(-9.417904750349132,6.629552639045289)
(-9.310020183022115,6.650972123874849)
(-9.202945339740733,6.671879416224403)
(-9.096678871899478,6.692284762753633)
(-8.991219041379614,6.712198151767685)
(-8.886563694724343,6.731629290331655)
(-8.782710320214758,6.750587626564016)
(-8.679656061993304,6.769082349598603)
(-8.577397741645457,6.787122394152189)
(-8.475931878864467,6.804716445192802)
(-8.375254711226566,6.821872942691589)
(-8.275362213104192,6.838600086442329)
(-8.176250113744521,6.854905840933721)
(-8.077913914540712,6.87079794026091)
(-7.980348905522726,6.8862838930636)
(-7.883550181094537,6.9013709874791935)
(-7.787512655100014,6.916066296085191)
(-7.692231074920438,6.930376680919077)
(-7.597700035403931,6.944308798305265)
(-7.503913991661306,6.9578691038493305)
(-7.410867271464566,6.971063857302719)
(-7.318554086999152,6.9838991274116085)
(-7.22696854603688,6.996380796723112)
(-7.13610466255216,7.008514566343353)
(-7.045956366654975,7.020305960547651)
(-6.956517514752228,7.031760331787043)
(-6.867781897742755,7.042882864766607)
(-6.779743250201972,7.053678581286345)
(-6.692395258391086,7.064152344619764)
(-6.605731567975821,7.0743088638973095)
(-6.519745791407214,7.084152698626156)
(-6.434431514483631,7.0936882621014385)
(-6.349782303440399,7.102919826782635)
(-6.265791710712011,7.1118515275819)
(-6.18245328085317,7.120487366062454)
(-6.09976055602229,7.128831214363538)
(-6.017707081147768,7.136886819045448)
(-5.936286408791276,7.14465780485435)
(-5.855492103721822,7.152147678406677)
