(-8.191878961867231e-13,-16.411958263647612)
(-0.2047739412962506,-16.410347802496513)
(-0.40940975712445093,-16.405518718875)
(-0.613769677721448,-16.397477947171414)
(-0.8177166426993662,-16.38623700613969)
(-1.0211146506788518,-16.371811956809136)
(-1.2238291029116297,-16.35422333786779)
(-1.425727138983755,-16.333496083445954)
(-1.6266779627686712,-16.309659423931397)
(-1.826553156895103,-16.282746770571592)
(-2.0252269841065824,-16.252795584733125)
(-2.222576674015387,-16.21984723279206)
(-2.418482693892005,-16.183946827721467)
(-2.6128290022798883,-16.14514305852193)
(-2.805503284382145,-16.103488008707124)
(-2.99639716832975,-16.059036965109147)
(-3.1854064216076763,-16.011848218307073)
(-3.3724311270838014,-15.961982856006935)
(-3.557375838253568,-15.909504550712317)
(-3.7401497134789925,-15.854479343022534)
(-3.92066662916192,-15.796975421880331)
(-4.098845271946764,-15.73706290306403)
(-4.274609210195512,-15.674813607180976)
(-4.447886945116552,-15.610300838370998)
(-4.618611942057302,-15.543599164871258)
(-4.786722642588175,-15.474784202529014)
(-4.9521624581109185,-15.403932402276949)
(-5.114879745817725,-15.331120842508753)
(-5.274827767908142,-15.256427027211181)
(-5.431964635038652,-15.17992869062447)
(-5.58625323503502,-15.101703609116855)
(-5.737661147940269,-15.021829420871756)
(-5.886160548501756,-14.940383453899456)
(-6.03172809722006,-14.85744256279945)
(-6.17434482109062,-14.77308297461611)
(-6.313995985167147,-14.687380144049275)
(-6.450670956064527,-14.60040861820415)
(-6.584363058499218,-14.512241910991238)
(-6.715069425937614,-14.422952387218237)
(-6.842790846388825,-14.332611156351234)
(-6.967531604338241,-14.241287975863749)
(-7.08929931977351,-14.149051164037726)
(-7.208104785205585,-14.055967522032315)
(-7.323961801535396,-13.962102264992597)
(-7.436887013562248,-13.867518961932507)
(-7.546899745873804,-13.772279484093412)
(-7.654021839800539,-13.676443961451632)
(-7.758277492059885,-13.580070747025527)
(-7.859693095658324,-13.483216388614016)
(-7.958297083563011,-13.385935607584438)
(-8.054119775599371,-13.288281284317492)
(-8.14718904251894,-13.190323758773896)
(-8.237546905065688,-13.092074259293206)
(-8.325224296207066,-12.993598796425871)
(-8.410257632030982,-12.894942861989227)
(-8.492684510888035,-12.796150119934058)
(-8.572543586380487,-12.697262423353216)
(-8.649874445391807,-12.598319835392259)
(-8.724717491248668,-12.49936065369753)
(-8.797113832073878,-12.400421438049541)
(-8.867105174357901,-12.301537040843204)
(-8.934733721748579,-12.202740640091031)
(-9.000042079033417,-12.104063774640547)
(-9.063073161266054,-12.005536381312881)
(-9.123870107968257,-11.907186833685556)
(-9.182476202320997,-11.809041982258561)
(-9.238934795242585,-11.711127195759008)
(-9.293289234238303,-11.613466403355686)
(-9.34558279689462,-11.516082137570617)
(-9.395858628881488,-11.4189955776904)
(-9.444159686318276,-11.322226593494959)
(-9.49052868235273,-11.225793789136269)
(-9.535008037797517,-11.129714547013583)
(-9.577639835665506,-11.034005071505353)
(-9.618465779442568,-10.938680432431102)
(-9.65752715493571,-10.84375460812873)
(-9.694864795534075,-10.749240528044732)
(-9.730519050720968,-10.655150114745737)
(-9.764529757676778,-10.561494325270447)
