(-9.720716771774068,3.973975109719175e-14)
(-9.720610115983346,0.009934044612487475)
(-9.720290195153426,0.019864230880727245)
(-9.71975714886001,0.029786703593978385)
(-9.719011209559081,0.03969761380346996)
(-9.718052702332026,0.04959312194134568)
(-9.71688204452952,0.05946940092508535)
(-9.715499745314938,0.06932263924267311)
(-9.713906405108133,0.07914904401379463)
(-9.712102714930824,0.0889448440224075)
(-9.710089455654883,0.09870629271610358)
(-9.707867497154984,0.10842967116776871)
(-9.705437797367372,0.11811129099514252)
(-9.702801401256648,0.12774749723398962)
(-9.699959439692622,0.13733467116071368)
(-9.69691312823941,0.14686923306037233)
(-9.693663765859318,0.15634764493619377)
(-9.690212733533842,0.1657664131568391)
(-9.686561492804694,0.17512209103781384)
(-9.682711584237572,0.18441128135359525)
(-9.678664625811649,0.1936306387772124)
(-9.674422311237864,0.20277687224419486)
(-9.669986408209263,0.2118467472379902)
(-9.665358756586606,0.22083708799413743)
(-9.660541266522666,0.229744779620679)
(-9.655535916528677,0.23856677013249167)
(-9.650344751486529,0.2473000723974155)
(-9.644969880610168,0.25594176599226626)
(-9.639413475360021,0.2644889989670189)
(-9.63367776731402,0.272938989515656)
(-9.62776504599899,0.28128902755238705)
(-9.621677656686153,0.2895364761921409)
(-9.615417998154488,0.2976787731344508)
(-9.608988520425704,0.3057134319500452)
(-9.602391722474588,0.31363804326966815)
(-9.595630149918435,0.3214502758748452)
(-9.588706392689291,0.329147877690512)
(-9.581623082692655,0.3367286766796131)
(-9.574382891456278,0.3441905816399649)
(-9.566988527772645,0.3515315829038627)
(-9.559442735338626,0.3587497529410872)
(-9.551748290395716,0.3658432468661399)
(-9.54390799937438,0.372810302850702)
(-9.535924696545571,0.3796492424424702)
(-9.52780124168287,0.38635847079167884)
(-9.519540517738124,0.392936476786761)
(-9.51114542853383,0.39938183310073927)
(-9.502618896474969,0.40569319615007415)
(-9.493963860283298,0.41186930596781235)
(-9.485183272756602,0.4179089859930005)
(-9.476280098555652,0.4238111427784398)
(-9.467260527928513,0.42957964210109834)
(-9.458121012565686,0.4352039172877259)
(-9.448867849597695,0.4406878836850459)
(-9.439504029499224,0.4460307757240673)
(-9.430032544037859,0.45123190833450005)
(-9.420456384274718,0.45629067621075525)
(-9.410778538607405,0.4612065530131279)
(-9.401001990856939,0.4659790905068138)
(-9.391129718400185,0.4706079176414417)
(-9.381164690348992,0.4750927395738396)
(-9.371109865777509,0.4794333366367708)
(-9.36096819199851,0.4836295632563938)
(-9.35074260288994,0.48768134682120445)
(-9.340436017272427,0.49158868650523)
(-9.330051337338555,0.4953516520482295)
(-9.319591447134504,0.4989703824956481)
(-9.309059211094649,0.5024450849010675)
(-9.298457472629444,0.5057760329938541)
(-9.28778905276695,0.508963565814692)
(-9.277056748848258,0.5120080863216604)
(-9.266263333276804,0.5149100599694606)
(-9.255411552321677,0.5176700132643807)
(-9.244504124974872,0.5202885322975173)
(-9.233543741862166,0.5227662612587434)
(-9.222533064207527,0.5251039009338546)
(-9.211474722850667,0.5273022071872583)
(-9.20037131731728,0.5293619894325355)
(-9.189225414941546,0.5312841090931208)
(-9.178039550040337,0.533069478055297)
(-9.166816223138461,0.5347190571156344)
(-9.155557900244347,0.5362338544249297)
(-9.144267012175344,0.537614923930641)
(-9.132945953931936,0.5388633638197362)
(-9.121597084119927,0.5399803149638098)
(-9.110222724419854,0.5409669593682438)
(-9.098825159102573,0.5418245186271227)
(-9.087406634590089,0.5425542523855309)
(-9.075969359060693,0.5431574568107985)
(-9.064515502097311,0.5436354630741805)
(-9.053047194377998,0.5439896358443851)
(-9.041566527407593,0.5442213717942923)
(-9.030075553289283,0.544332098122132)
(-9.018576284535095,0.5443232710883278)
(-9.007070693914104,0.5441963745691215)
(-8.995560714337236,0.5439529186280558)
(-8.984048238777465,0.5435944381062825)
(-8.972535120224345,0.5431224912326449)
(-8.961023171671572,0.5425386582543699)
(-8.949514166136533,0.5418445400891742)
(-8.938009836710577,0.5410417569995103)
(-8.926511869531598,0.5401319481945994)
(-8.915021932315156,0.5391167669386603)
(-8.90354163186547,0.5379978847021619)
(-8.8920725426472,0.5367769863338866)
(-8.880616199871305,0.5354557697519872)
(-8.869174099705608,0.5340359447630467)
(-8.857747699508247,0.5325192319067567)
(-8.846338418082734,0.5309073613264805)
(-8.83494763595364,0.5292020716659545)
(-8.823576695661803,0.527405108992301)
(-8.812226902078057,0.525518225745512)
(-8.800899522734428,0.5235431797144953)
(-8.78959578817178,0.5214817330397558)
(-8.778316892302986,0.5193356512427294)
(-8.767063992790609,0.5171067022817611)
(-8.755838211438178,0.5147966556346802)
(-8.74464063459415,0.5124072814078903)
(-8.73347231356765,0.5099403494718641)
(-8.722334265055146,0.5073976286229034)
(-8.711227471577171,0.5047808857709926)
(-8.700152881924343,0.5020918851535517)
(-8.689111411611798,0.49933238757487053)
(-8.67810394334136,0.49650414967097656)
(-8.667131327470617,0.493608923199678)
(-8.656194382488248,0.49064845435549553)
(-8.645293895494849,0.487624483109173)
(-8.634430622688646,0.48453874257146107)
(-8.623605289855382,0.48139295838082263)
(-8.612818592861778,0.47818884811471923)
(-8.602071198152034,0.4749281207241136)
(-8.591363743246648,0.47161247599080747)
(-8.58069683724315,0.46824360400723564)
(-8.570071061318107,0.4648231846783159)
(-8.559486969229992,0.4613528872449497)
(-8.548945087822325,0.4578343698287661)
(-8.538445917526692,0.45426927899768615)
(-8.527989932865212,0.4506592493518847)
(-8.517577582951958,0.44700590312972605)
(-8.507209291992986,0.44331084983323155)
(-8.496885459784622,0.4395756858726533)
(-8.486606462209528,0.4358019942297142)
(-8.476372651730351,0.4319913441390705)
(-8.466184357880518,0.42814529078756786)
(-8.456041887751951,0.4242653750308391)
(-8.445945526479338,0.42035312312681905)
(-8.435895537720784,0.4164100464857267)
(-8.42589216413449,0.4124376414360882)
(-8.415935627851306,0.40843738900636084)
(-8.406026130942877,0.4044107547217353)
(-8.396163855885217,0.4003591884156467)
(-8.38634896601749,0.3962841240557755)
(-8.37658160599585,0.392186979583631)
(-8.366861902242151,0.38806915676793763)
(-8.357189963387386,0.38393204107094936)
(-8.3475658807097,0.37977700152746385)
(-8.337989728566914,0.3756053906361173)
(-8.328461564823366,0.37141854426255144)
(-8.318981431271,0.3672177815540817)
(-8.309549354044652,0.3630044048654677)
(-8.300165344031374,0.35877969969542456)
(-8.290829397273773,0.3545449346334934)
(-8.28154149536732,0.35030136131691686)
(-8.27230160585154,0.34605021439716027)
(-8.263109682595033,0.3417927115157258)
(-8.253965666174347,0.3375300532889233)
(-8.244869484246598,0.3332634233012562)
(-8.235821051915906,0.3289939881070988)
(-8.226820272093535,0.32472289724033804)
(-8.217867035851814,0.3204512832316703)
(-8.208961222771816,0.3161802616332454)
(-8.200102701284763,0.31191093105034845)
(-8.19129132900724,0.3076443731798422)
(-8.182526953070138,0.3033816528550716)
(-8.173809410441493,0.2991238180969534)
(-8.165138528243075,0.29487190017098136)
(-8.1565141240609,0.29062691364988513)
(-8.147936006249658,0.2863898564816737)
(-8.139403974231062,0.2821617100628282)
(-8.130917818786179,0.2779434393163807)
(-8.122477322341867,0.27373599277466126)
(-8.114082259251239,0.2695403026664652)
(-8.105732396068296,0.26535728500842815)
(-8.097427491816804,0.2611878397003851)
(-8.089167298253349,0.2570328506245026)
(-8.08095156012483,0.25289318574798075)
(-8.072780015420246,0.24876969722912753)
(-8.06465239561702,0.2446632215266028)
(-8.05656842592178,0.2405745795116657)
(-8.04852782550579,0.23650457658321877)
(-8.040530307735029,0.2324540027854951)
(-8.032575580395005,0.2284236329282071)
(-8.024663345910406,0.22441422670900169)
(-8.016793301559614,0.22042652883805253)
(-8.008965139684209,0.2164612691646477)
(-8.001178547893494,0.2125191628056216)
(-7.993433209264163,0.20860091027548225)
(-7.985728802535138,0.20470719761810663)
(-7.9780650022977335,0.20083869653986544)
(-7.970441479181108,0.1969960645440475)
(-7.962857900033199,0.1931799450664721)
(-7.955313928097138,0.18939096761215168)
(-7.947809243571074,0.18562974419271266)
(-7.940343462250923,0.1818968842588576)
(-7.932916257942004,0.1781929726588701)
(-7.925527281145622,0.1745185845585619)
(-7.9181761795758625,0.17087428188836395)
(-7.91086259831081,0.16726061348411472)
(-7.903586179939723,0.16367811522820283)
(-7.8963465647064055,0.16012731019097143)
(-7.889143390648787,0.15660870877230632)
(-7.881976293734757,0.15312280884332619)
(-7.8748449079944445,0.14967009588809957)
(-7.867748865648825,0.14625104314532403)
(-7.860687797234947,0.1428661117498834)
(-7.8536613317276895,0.13951575087423054)
(-7.846669096658186,0.13620039786952667)
(-7.839710718228993,0.13292047840648177)
(-7.832785821426041,0.12967640661583177)
(-7.825894030127499,0.1264685852284029)
(-7.8190349672095145,0.12329740571471333)
(-7.812208254649024,0.12016324842405936)
(-7.805413513623612,0.11706648272303587)
(-7.79865036460851,0.11400746713345881)
(-7.7919184274708195,0.11098654946963508)
(-7.785217321560989,0.10800406697494531)
(-7.778546665801642,0.10506034645770344)
(-7.771906078773799,0.10215570442625421)
(-7.76529517880056,0.09929044722327843)
(-7.758713584028296,0.09646487115927059)
(-7.752160912505445,0.09367926264516296)
(-7.745636782258916,0.09093389832406598)
(-7.7391408113682125,0.0882290452020994)
(-7.7326726180373,0.08556496077828864)
(-7.726231820664273,0.08294189317350933)
(-7.719818037908903,0.08036008125844649)
(-7.713430888758078,0.07781975478056528)
(-7.70706999258922,0.07532113449005629)
(-7.70073496923174,0.07286443226475868)
(-7.694425439026523,0.07044985123402671)
(-7.688141022942367,0.06807758581933594)
(-7.681881342405701,0.0657478221851762)
(-7.67564601968036,0.06346073786606145)
(-7.669434677711278,0.06121650221472104)
(-7.663246940225169,0.05901527643857188)
(-7.657082431779396,0.05685721371703411)
(-7.650940777809336,0.0547424593177354)
(-7.644821604674119,0.05267115071157393)
(-7.63872453970087,0.050643417686654174)
(-7.63264921122747,0.04865938246107477)
(-7.626595248643877,0.04671915979457587)
(-7.62056228243205,0.04482285709903772)
(-7.614549944204502,0.04297057454782526)
(-7.608557866741527,0.041162405183987)
(-7.6025856840271695,0.039398435027295585)
(-7.5966330312838855,0.037678743180136386)
(-7.590699545006051,0.036003401932245334)
(-7.584784862992221,0.03437247686429293)
(-7.578888624376307,0.03278602695031703)
(-7.573010469657575,0.031244104659010355)
(-7.567150040729605,0.029746756053858917)
(-7.561306980908158,0.02829402089214252)
(-7.555480934958047,0.026885932722791453)
(-7.549671549119,0.025522518983110244)
(-7.543878471130568,0.024203801094374942)
(-7.538101350256066,0.02292979455629916)
(-7.532339837305639,0.02170050904038171)
(-7.526593584658433,0.02051594848214531)
(-7.520862246283884,0.01937611117225723)
(-7.515145477762209,0.018280989846556215)
(-7.509442936304064,0.017230571774978665)
(-7.503754280769438,0.016224838849400052)
(-7.498079171685766,0.015263767670390609)
(-7.492417271265322,0.014347329632900703)
(-7.486768243421887,0.013475491010876903)
(-7.481131753786719,0.012648213040822809)
(-7.475507469723865,0.011865452004303782)
(-7.4698950603448075,0.011127159309416471)
(-7.4642941965224985,0.010433281571218414)
(-7.4587045509047485,0.00978376069113365)
(-7.453125797927042,0.009178533935346378)
(-7.447557613824788,0.008617534012180239)
(-7.441999676645002,0.00810068914848083)
(-7.436451666257429,0.007627923165013045)
(-7.4309132643651745,0.00719915555087026)
(-7.425384154514826,0.006814301536919685)
(-7.41986402210606,0.006473272168281553)
(-7.414352554400791,0.006175974375855461)
(-7.408849440531864,0.005922311046907901)
(-7.403354371511299,0.005712181094723422)
(-7.397867040238098,0.005545479527331107)
(-7.392387141505639,0.00542209751532209)
(-7.386914372008671,0.005341922458756118)
(-7.381448430349924,0.005304838053180569)
(-7.3759890170463125,0.005310724354757087)
(-7.370535834534819,0.005359457844520913)
(-7.365088587177986,0.005450911491769312)
(-7.359646981269086,0.005584954816596958)
(-7.354210725036954,0.005761453951584884)
(-7.348779528650517,0.005980271702655081)
(-7.343353104222976,0.006241267609094338)
(-7.337931165815739,0.0065442980027671065)
(-7.332513429442038,0.006889216066519933)
(-7.327099613070266,0.007275871891786007)
(-7.321689436627054,0.007704112535403882)
(-7.316282622000088,0.00817378207566154)
(-7.310878893040672,0.008684721667566226)
(-7.3054779755660455,0.009236769597359178)
(-7.300079597361487,0.009829761336281767)
(-7.294683488182148,0.010463529593598581)
(-7.289289379754722,0.011137904368891331)
(-7.2838970057788535,0.011852713003632843)
(-7.278506101928396,0.012607780232049094)
(-7.273116405852414,0.013402928231274439)
(-7.267727657176043,0.014237976670816891)
(-7.262339597501157,0.015112742761340562)
(-7.256951970406833,0.016027041302765225)
(-7.251564521449678,0.01698068473170742)
(-7.246176998163977,0.017973483168259606)
(-7.240789150061679,0.01900524446211651)
(-7.235400728632248,0.020075774238071217)
(-7.230011487342339,0.02118487594086908)
(-7.224621181635355,0.02233235087944351)
(-7.219229568930861,0.02351799827053689)
(-7.213836408623862,0.024741615281714292)
(-7.208441462083956,0.026002997073779344)
(-7.203044492654362,0.027301936842597567)
(-7.197645265650838,0.028638225860345624)
(-7.192243548360481,0.030011653516178186)
(-7.1868391100403946,0.03142200735633332)
(-7.181431721916307,0.032869073123681945)
(-7.176021157181024,0.03435263479672336)
(-7.170607190992815,0.03587247462804265)
(-7.165189600473722,0.0374283731822301)
(-7.159768164707718,0.039020109373276546)
(-7.154342664738859,0.040647460501448164)
(-7.148912883569282,0.04231020228965062)
(-7.143478606157149,0.044008108919285284)
(-7.138039619414526,0.045740953065613044)
(-7.132595712205151,0.047508505932626094)
(-7.127146675342176,0.04931053728743206)
(-7.121692301585786,0.051146815494172285)
(-7.116232385640792,0.05301710754746119)
(-7.110766724154146,0.0549211791053674)
(-7.105295115712385,0.056858794521941355)
(-7.099817360839019,0.05882971687929067)
(-7.094333261991864,0.060833708019216295)
(-7.088842623560325,0.06287052857440906)
(-7.083345251862603,0.06493993799922074)
(-7.077840955142874,0.06704169460000978)
(-7.07232954356839,0.0691755555650769)
(-7.066810829226571,0.07134127699417486)
(-7.061284626122013,0.07353861392762864)
(-7.055750750173465,0.07576732037505393)
(-7.050209019210766,0.07802714934367691)
(-7.044659252971729,0.08031785286627413)
(-7.039101273099001,0.08263918202872846)
(-7.033534903136855,0.0849908869972089)
(-7.027959968527978,0.08737271704498335)
(-7.022376296610201,0.08978442057886582)
(-7.016783716613199,0.09222574516530484)
(-7.01118205965515,0.09469643755611713)
(-7.005571158739372,0.09719624371387882)
(-6.999950848750923,0.0997249088369659)
(-6.994320966453166,0.10228217738426491)
(-6.988681350484311,0.10486779309954512)
(-6.983031841353913,0.10748149903550691)
(-6.977372281439364,0.11012303757750683)
(-6.971702514982347,0.11279215046696295)
(-6.966022388085242,0.11548857882445189)
(-6.960331748707555,0.11821206317249333)
(-6.95463044666227,0.1209623434580351)
(-6.948918333612202,0.12373915907463448)
(-6.943195263066334,0.12654224888435267)
(-6.937461090376124,0.129371351239353)
(-6.931715672731754,0.1322262040032183)
(-6.925958869158431,0.13510654457198223)
(-6.920190540512586,0.13801210989489368)
(-6.914410549478117,0.14094263649489774)
(-6.908618760562569,0.14389786048885564)
(-6.90281504009331,0.1468775176074994)
(-6.896999256213693,0.1498813432151251)
(-6.891171278879177,0.1529090723290322)
(-6.885330979853461,0.1559604396387077)
(-6.879478232704566,0.15903517952476684)
(-6.8736129128009225,0.16213302607764457)
(-6.867734897307419,0.1652537131160483)
(-6.861844065181457,0.16839697420517633)
(-6.855940297168969,0.17156254267469762)
(-6.850023475800422,0.17475015163650534)
(-6.844093485386806,0.1779595340022439)
(-6.8381502120156235,0.18119042250061249)
(-6.832193543546805,0.18444254969444507)
(-6.826223369608693,0.18771564799758517)
(-6.8202395815939285,0.1910094496915342)
(-6.814242072655375,0.19432368694189908)
(-6.808230737701993,0.1976580918146312)
(-6.8022054733947135,0.2010123962920599)
(-6.796166178142315,0.20438633228872866)
(-6.790112752097226,0.20777963166703228)
(-6.784045097151383,0.21119202625265865)
(-6.77796311693201,0.21462324784984382)
(-6.771866716797433,0.21807302825643213)
(-6.765755788681187,0.22154110053533474)
(-6.759630271685857,0.2250271939913928)
(-6.753490061194416,0.22853104175990255)
(-6.74733506944716,0.23205237576008758)
(-6.741165210394208,0.23559092797736678)
(-6.734980399691199,0.2391464304773539)
(-6.728780554694984,0.24271861541967654)
(-6.722565594459275,0.24630721507163456)
(-6.716335439730318,0.24991196182169167)
(-6.710090012942523,0.2535325881928074)
